customer_card_id,customer_id,credit_card_product_id,card_name,card_number_masked,card_network,card_category,issue_date,activation_date,expiry_date,card_status,credit_limit,available_limit,current_outstanding,reward_points_balance,annual_spend,international_enabled,last_payment_date
CCA00011,CUST00014,CC013,Pixel Go Credit Card,XXXX-XXXX-XXXX-9696,Visa,Classic,2021-10-26,2021-10-29,2026-10-25,Active,144824,93720.21,51103.79,26815,944895.52,No,2026-07-15
CCA00012,CUST00017,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-4097,RuPay,Classic,2025-11-11,2025-11-17,2030-11-10,Active,210685,175908.52,34776.48,39631,394051.32,Yes,2026-07-13
CCA00013,CUST00017,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-9167,Visa,Premium,2025-05-15,2026-05-20,2028-10-04,Active,93880,88545.73,5334.27,34298,452523.19,No,2026-07-07
CCA00014,CUST00018,CC013,Pixel Go Credit Card,XXXX-XXXX-XXXX-4536,Visa,Classic,2026-02-04,2026-02-10,2031-02-03,Active,254898,142975.04,111922.96,25666,1502408.97,No,2026-08-02
CCA00015,CUST00018,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-8716,Visa,Classic,2026-06-10,2023-08-24,2031-05-31,Active,138931,106635.2,32295.8,38106,255684.1,No,2026-07-07
CCA00016,CUST00019,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-6106,Mastercard,Premium,2021-05-20,2021-05-23,2026-05-19,Active,364465,94506.46,269958.54,22506,719943.38,Yes,2026-07-19
CCA00017,CUST00020,CC006,Diners Black,XXXX-XXXX-XXXX-6735,Diners Club,Super Premium,2025-01-23,2025-01-28,2030-01-22,Active,4148775,2567005.01,1581769.99,19172,11303087.88,Yes,2026-07-08
CCA00018,CUST00023,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-3878,RuPay,Classic,2020-04-14,2020-04-17,2025-04-13,Active,93061,66187.53,26873.47,7016,195526.49,Yes,2026-07-25
CCA00019,CUST00025,CC007,Business Credit Card,XXXX-XXXX-XXXX-1169,Visa,Classic,2016-12-05,2016-12-07,2021-12-04,Active,112821,27041.38,85779.62,385,152427.83,No,2026-07-15
CCA00020,CUST00027,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-2318,Mastercard,Premium,2022-07-05,2022-07-09,2027-07-04,Active,134858,65283.91,69574.09,42112,333848.97,Yes,2026-07-25
CCA00021,CUST00028,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-8488,Mastercard,Premium,2026-03-11,2026-03-17,2031-03-10,Active,361276,136448.89,224827.11,6341,1787335.61,Yes,2026-07-06
CCA00022,CUST00028,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-2846,Visa,Premium,2024-03-29,2023-07-06,2030-05-12,Active,359876,249869.34,110006.66,27159,1935939.7,Yes,2026-07-18
CCA00023,CUST00029,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-2543,Visa,Classic,2022-08-23,2022-08-24,2027-08-22,Active,113859,56541.1,57317.9,35600,391197.55,Yes,2026-08-07
CCA00024,CUST00030,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-6831,Mastercard,Premium,2023-01-06,2023-01-07,2028-01-05,Active,622821,269936.62,352884.38,36234,2820614.22,No,2026-08-17
CCA00025,CUST00032,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-4018,Mastercard,Premium,2025-04-01,2025-04-06,2030-03-31,Active,160982,107917.69,53064.31,36546,1001919.77,Yes,2026-08-01
CCA00026,CUST00034,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-6079,Visa,Classic,2025-12-21,2025-12-25,2030-12-20,Active,39679,16340.24,23338.76,17593,63219.49,No,2026-07-13
CCA00027,CUST00036,CC004,Regalia Gold,XXXX-XXXX-XXXX-4769,Visa,Premium,2025-11-25,2025-11-28,2030-11-24,Active,261363,120385.51,140977.49,16865,485211.31,No,2026-07-15
CCA00028,CUST00037,CC007,Business Credit Card,XXXX-XXXX-XXXX-1616,Visa,Classic,2015-06-19,2015-06-24,2020-06-17,Active,95326,44091.74,51234.26,17954,132163.07,No,2026-07-19
CCA00029,CUST00037,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-7585,Mastercard,Premium,2024-05-08,2023-08-07,2030-06-06,Active,348636,202283.51,146352.49,56321,1037142.01,No,2026-07-11
CCA00030,CUST00038,CC006,Diners Black,XXXX-XXXX-XXXX-7693,Diners Club,Super Premium,2022-03-21,2022-03-24,2027-03-20,Active,5839259,1321265.36,4517993.64,31750,15944166.47,Yes,2026-08-01
CCA00031,CUST00042,CC007,Business Credit Card,XXXX-XXXX-XXXX-8655,Visa,Classic,2024-08-08,2024-08-13,2029-08-07,Active,169008,18481.56,150526.44,5276,422995.75,No,2026-08-05
CCA00032,CUST00044,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-7142,Visa,Premium,2023-01-11,2023-01-11,2028-01-10,Active,881952,453457.0,428495.0,34521,4120810.6,Yes,2026-08-07
CCA00033,CUST00046,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-6411,Visa,Premium,2023-10-05,2023-10-10,2028-10-03,Active,229106,83957.82,145148.18,34001,1364731.95,No,2026-08-10
CCA00034,CUST00047,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-4661,Visa,Classic,2022-12-12,2022-12-12,2027-12-11,Active,66321,28921.55,37399.45,12439,58545.48,No,2026-08-17
CCA00035,CUST00054,CC006,Diners Black,XXXX-XXXX-XXXX-6402,Diners Club,Super Premium,2024-01-25,2024-01-27,2029-01-23,Active,880827,339604.51,541222.49,32961,4448292.12,No,2026-07-14
CCA00036,CUST00057,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-7074,Visa,Classic,2025-04-15,2025-04-21,2030-04-14,Active,116260,94872.34,21387.66,31306,542790.07,Yes,2026-07-23
CCA00037,CUST00059,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-5714,RuPay,Premium,2025-04-14,2025-04-18,2030-04-13,Active,314514,206467.15,108046.85,15754,1513089.14,No,2026-07-06
CCA00038,CUST00061,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-1511,Mastercard,Premium,2022-05-02,2022-05-02,2027-05-01,Active,155668,141502.5,14165.5,49674,183935.91,No,2026-07-24
CCA00039,CUST00062,CC005,Infinia Metal,XXXX-XXXX-XXXX-4500,Mastercard,Super Premium,2024-08-15,2024-08-18,2029-08-14,Active,2628675,1618297.17,1010377.83,22636,15329837.0,No,2026-07-09
CCA00040,CUST00062,CC006,Diners Black,XXXX-XXXX-XXXX-8669,Diners Club,Super Premium,2024-09-23,2025-07-27,2030-10-04,Active,1790157,1658465.58,131691.42,40600,10500512.65,Yes,2026-07-23
CCA00041,CUST00064,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-1949,Mastercard,Premium,2022-05-26,2022-05-29,2027-05-25,Active,586041,216347.85,369693.15,36216,3437682.28,No,2026-08-11
CCA00042,CUST00065,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-8619,RuPay,Classic,2024-06-25,2024-07-01,2029-06-24,Active,141659,95162.32,46496.68,9462,752635.25,No,2026-07-18
CCA00043,CUST00066,CC014,Women's Advantage Credit Card,XXXX-XXXX-XXXX-9926,Visa,Classic,2025-02-04,2025-02-06,2030-02-03,Active,112979,67964.51,45014.49,37983,343816.45,No,2026-07-19
CCA00044,CUST00067,CC007,Business Credit Card,XXXX-XXXX-XXXX-5156,Visa,Classic,2026-01-03,2026-01-09,2031-01-02,Active,201060,87414.59,113645.41,37611,385003.57,No,2026-07-26
CCA00045,CUST00067,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-2448,Visa,Premium,2025-08-15,2023-06-13,2029-05-14,Active,135445,108067.62,27377.38,24824,132369.46,Yes,2026-07-16
CCA00046,CUST00068,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-1730,RuPay,Premium,2024-04-22,2024-04-25,2029-04-21,Active,133916,74422.47,59493.53,14797,221069.34,No,2026-07-22
CCA00047,CUST00070,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-4010,RuPay,Classic,2024-09-07,2024-09-14,2029-09-06,Active,52831,37274.3,15556.7,4571,256521.96,Yes,2026-07-20
CCA00048,CUST00071,CC008,BizBlack Credit Card,XXXX-XXXX-XXXX-3237,Mastercard,Super Premium,2019-05-27,2019-06-01,2024-05-25,Active,5821032,2772202.67,3048829.33,15888,21162724.26,No,2026-08-15
CCA00049,CUST00073,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-3252,Visa,Classic,2025-03-04,2025-03-05,2030-03-03,Active,32517,22532.37,9984.63,3640,199813.2,Yes,2026-07-22
CCA00050,CUST00074,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-6498,Mastercard,Premium,2021-09-17,2021-09-24,2026-09-16,Active,993899,886642.0,107257.0,38955,1488800.62,Yes,2026-07-17
CCA00051,CUST00074,CC013,Pixel Go Credit Card,XXXX-XXXX-XXXX-2633,Visa,Classic,2023-11-20,2026-06-15,2028-07-13,Active,104716,73292.42,31423.58,47838,77863.31,Yes,2026-07-21
CCA00052,CUST00077,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-1208,Mastercard,Premium,2025-10-13,2025-10-13,2030-10-12,Active,565209,210709.4,354499.6,41558,524253.76,Yes,2026-07-09
CCA00053,CUST00078,CC005,Infinia Metal,XXXX-XXXX-XXXX-5086,Mastercard,Super Premium,2026-05-23,2026-05-28,2031-05-22,Active,5630534,4213720.29,1416813.71,20846,12323828.15,No,2026-07-30
CCA00054,CUST00078,CC004,Regalia Gold,XXXX-XXXX-XXXX-9072,Visa,Premium,2025-08-29,2026-02-24,2030-06-04,Active,181010,135707.51,45302.49,58048,1036645.23,No,2026-07-31
CCA00055,CUST00079,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-1464,Visa,Premium,2019-10-11,2019-10-18,2024-10-09,Active,181610,141353.11,40256.89,46445,196780.56,No,2026-07-28
CCA00056,CUST00081,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-2573,Visa,Premium,2024-11-26,2024-11-26,2029-11-25,Active,1343318,132153.82,1211164.18,48016,2562471.48,Yes,2026-07-16
CCA00057,CUST00082,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-1471,Visa,Classic,2024-04-23,2024-04-26,2029-04-22,Active,137187,85880.97,51306.03,3258,754007.52,No,2026-07-15
CCA00058,CUST00085,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-9620,Visa,Classic,2021-12-31,2022-01-03,2026-12-30,Active,68004,31618.43,36385.57,43991,60275.57,Yes,2026-08-12
CCA00059,CUST00086,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-9304,Mastercard,Premium,2025-04-11,2025-04-11,2030-04-10,Active,325140,280171.6,44968.4,22073,309345.76,No,2026-08-15
CCA00060,CUST00087,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-7697,Visa,Premium,2023-02-06,2023-02-06,2028-02-05,Active,326373,153672.02,172700.98,25115,344079.88,Yes,2026-08-12
CCA00061,CUST00090,CC007,Business Credit Card,XXXX-XXXX-XXXX-4829,Visa,Classic,2024-02-28,2024-02-29,2029-02-26,Active,117991,79858.96,38132.04,46060,554365.91,Yes,2026-07-17
CCA00062,CUST00091,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-5812,Visa,Classic,2023-12-12,2023-12-13,2028-12-10,Active,42386,34882.57,7503.43,23374,113264.69,No,2026-07-20
CCA00063,CUST00093,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-7441,RuPay,Classic,2024-08-26,2024-08-30,2029-08-25,Active,64277,24898.1,39378.9,26256,119302.51,No,2026-07-04
CCA00064,CUST00094,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-2209,Mastercard,Premium,2026-03-23,2026-03-29,2031-03-22,Active,749633,89989.86,659643.14,4614,4497477.03,No,2026-07-13
CCA00065,CUST00095,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-2991,Visa,Classic,2022-08-02,2022-08-09,2027-08-01,Active,36393,22564.62,13828.38,25192,33130.3,No,2026-08-03
CCA00066,CUST00096,CC002,MoneyBack+ Credit Card,XXXX-XXXX-XXXX-5260,Visa,Classic,2026-05-19,2026-05-24,2031-05-18,Active,114754,47485.65,67268.35,10840,755750.99,No,2026-07-09
CCA00067,CUST00097,CC013,Pixel Go Credit Card,XXXX-XXXX-XXXX-6234,Visa,Classic,2022-03-15,2022-03-20,2027-03-14,Active,92845,81582.68,11262.32,43115,420122.25,No,2026-07-17
CCA00068,CUST00098,CC008,BizBlack Credit Card,XXXX-XXXX-XXXX-6922,Mastercard,Super Premium,2020-03-14,2020-03-20,2025-03-13,Active,3090523,917356.81,2173166.19,16334,2189564.3,No,2026-07-04
CCA00069,CUST00098,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-3282,Visa,Premium,2023-08-07,2023-11-17,2029-04-01,Active,708797,583784.3,125012.7,22450,3470653.29,Yes,2026-07-18
CCA00070,CUST00099,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-4119,Visa,Premium,2018-04-19,2018-04-23,2023-04-18,Active,210999,104419.47,106579.53,44748,300725.4,No,2026-07-31
CCA00071,CUST00100,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-7810,Visa,Classic,2024-05-22,2024-05-23,2029-05-21,Active,98322,44606.1,53715.9,47894,508565.08,Yes,2026-07-27
CCA00072,CUST00101,CC004,Regalia Gold,XXXX-XXXX-XXXX-8585,Visa,Premium,2023-04-09,2023-04-16,2028-04-07,Active,390392,288099.72,102292.28,46145,1573840.42,No,2026-07-23
CCA00073,CUST00102,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-6327,RuPay,Classic,2021-09-16,2021-09-17,2026-09-15,Active,122918,45013.49,77904.51,5751,858285.05,Yes,2026-07-12
CCA00074,CUST00103,CC004,Regalia Gold,XXXX-XXXX-XXXX-7454,Visa,Premium,2023-03-23,2023-03-23,2028-03-21,Active,1078410,927512.89,150897.11,14439,2019952.36,No,2026-07-14
CCA00075,CUST00104,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-7980,Visa,Premium,2023-02-13,2023-02-15,2028-02-12,Active,1047701,723222.31,324478.69,25270,4883985.9,No,2026-07-30
CCA00076,CUST00105,CC007,Business Credit Card,XXXX-XXXX-XXXX-5628,Visa,Classic,2024-01-24,2024-01-24,2029-01-22,Active,130006,104979.63,25026.37,15485,829078.8,No,2026-07-11
CCA00077,CUST00107,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-7734,RuPay,Premium,2025-05-28,2025-05-28,2030-05-27,Active,250997,148430.02,102566.98,1915,973131.89,No,2026-08-02
CCA00078,CUST00108,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-1690,Visa,Premium,2023-10-06,2023-10-06,2028-10-04,Active,553719,482581.27,71137.73,36649,730079.46,Yes,2026-08-03
CCA00079,CUST00109,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-5274,RuPay,Premium,2025-07-13,2025-07-13,2030-07-12,Active,1557262,1210231.14,347030.86,28935,815106.6,No,2026-07-10
CCA00080,CUST00112,CC007,Business Credit Card,XXXX-XXXX-XXXX-8755,Visa,Classic,2022-10-06,2022-10-10,2027-10-05,Active,276765,197125.76,79639.24,42494,967191.43,No,2026-07-06
CCA00081,CUST00113,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-1078,RuPay,Classic,2023-07-13,2023-07-18,2028-07-11,Active,114436,70476.93,43959.07,22511,426460.55,Yes,2026-07-19
CCA00082,CUST00114,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-7751,Visa,Classic,2022-12-04,2022-12-05,2027-12-03,Active,73293,33234.81,40058.19,32773,353935.92,Yes,2026-07-06
CCA00083,CUST00116,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-8404,Visa,Classic,2026-03-31,2026-04-04,2031-03-30,Active,91859,69913.43,21945.57,4539,186602.46,Yes,2026-07-09
CCA00084,CUST00117,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-2673,Mastercard,Premium,2023-03-02,2023-03-08,2028-02-29,Active,1187289,1071829.99,115459.01,2301,1607088.1,Yes,2026-07-08
CCA00085,CUST00119,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-8151,Visa,Classic,2026-01-25,2026-01-29,2031-01-24,Active,69522,29584.9,39937.1,8308,390693.63,No,2026-07-18
CCA00086,CUST00120,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-5172,RuPay,Classic,2023-04-17,2023-04-22,2028-04-15,Active,145994,80696.65,65297.35,13956,395318.14,No,2026-07-11
CCA00087,CUST00121,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-3921,Visa,Classic,2022-03-06,2022-03-07,2027-03-05,Active,256090,162695.82,93394.18,45205,399430.29,No,2026-07-27
CCA00088,CUST00122,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-8580,RuPay,Premium,2025-05-27,2025-05-31,2030-05-26,Active,433584,248596.61,184987.39,23163,2924369.46,No,2026-07-27
CCA00089,CUST00123,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-3318,Mastercard,Premium,2025-04-22,2025-04-26,2030-04-21,Active,535731,431041.51,104689.49,3714,924453.94,No,2026-07-05
CCA00090,CUST00124,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-5292,Visa,Premium,2021-08-01,2021-08-06,2026-07-31,Active,169383,136141.68,33241.32,30997,160282.53,Yes,2026-07-05
CCA00091,CUST00127,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-7502,Visa,Premium,2023-02-28,2023-03-06,2028-02-27,Active,64328,46518.09,17809.91,44985,284964.96,No,2026-08-09
CCA00092,CUST00128,CC007,Business Credit Card,XXXX-XXXX-XXXX-9875,Visa,Classic,2025-01-12,2025-01-14,2030-01-11,Active,288415,234681.16,53733.84,44950,845032.89,No,2026-07-31
CCA00093,CUST00129,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-9411,RuPay,Premium,2022-09-24,2022-09-28,2027-09-23,Active,554140,383579.9,170560.1,319,2124385.18,Yes,2026-07-31
CCA00094,CUST00130,CC004,Regalia Gold,XXXX-XXXX-XXXX-4250,Visa,Premium,2019-03-30,2019-04-03,2024-03-28,Active,574111,380242.96,193868.04,44345,1304662.87,No,2026-07-31
CCA00095,CUST00131,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-2393,RuPay,Premium,2026-04-08,2026-04-14,2031-04-07,Active,321201,290126.51,31074.49,44759,2078713.54,No,2026-07-14
CCA00096,CUST00137,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-1157,RuPay,Premium,2026-01-18,2026-01-18,2031-01-17,Active,163683,48605.37,115077.63,29295,131466.99,Yes,2026-07-15
CCA00097,CUST00138,CC007,Business Credit Card,XXXX-XXXX-XXXX-9165,Visa,Classic,2024-02-28,2024-03-06,2029-02-26,Active,293268,252595.0,40673.0,37840,813866.31,No,2026-08-15
CCA00098,CUST00138,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-1999,RuPay,Premium,2025-06-04,2024-01-16,2029-01-01,Active,188807,108111.26,80695.74,52062,729363.34,No,2026-08-14
CCA00099,CUST00139,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-8725,RuPay,Premium,2026-03-24,2026-03-24,2031-03-23,Active,156962,141242.78,15719.22,452,632701.08,No,2026-08-08
CCA00100,CUST00140,CC002,MoneyBack+ Credit Card,XXXX-XXXX-XXXX-4644,Visa,Classic,2024-02-24,2024-03-02,2029-02-22,Active,40128,28508.54,11619.46,40679,194486.85,No,2026-08-16
CCA00101,CUST00141,CC009,Swiggy HDFC Bank Credit Card,XXXX-XXXX-XXXX-9097,Mastercard,Premium,2024-12-25,2024-12-31,2029-12-24,Active,472861,260852.62,212008.38,30869,524181.55,Yes,2026-07-12
CCA00102,CUST00144,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-4511,Visa,Classic,2022-10-10,2022-10-10,2027-10-09,Active,26376,15151.66,11224.34,25891,40232.03,No,2026-08-08
CCA00103,CUST00145,CC004,Regalia Gold,XXXX-XXXX-XXXX-6753,Visa,Premium,2022-04-19,2022-04-25,2027-04-18,Active,652462,296736.91,355725.09,46541,2458219.04,No,2026-08-13
CCA00104,CUST00146,CC007,Business Credit Card,XXXX-XXXX-XXXX-2554,Visa,Classic,2024-11-19,2024-11-22,2029-11-18,Active,48969,20569.93,28399.07,37774,155554.8,No,2026-07-16
CCA00105,CUST00147,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-1537,RuPay,Premium,2024-05-11,2024-05-14,2029-05-10,Active,969298,455835.51,513462.49,3902,6751550.86,No,2026-07-25
CCA00106,CUST00149,CC011,IndianOil HDFC Bank Credit Card,XXXX-XXXX-XXXX-6446,Visa,Classic,2026-04-22,2026-04-22,2031-04-21,Active,22821,3431.75,19389.25,27129,134187.99,No,2026-07-19
CCA00107,CUST00150,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-9849,RuPay,Premium,2025-01-21,2025-01-27,2030-01-20,Active,138921,118229.13,20691.87,28533,76574.22,Yes,2026-07-10
CCA00108,CUST00151,CC001,Freedom Credit Card,XXXX-XXXX-XXXX-4730,Visa,Classic,2024-11-15,2024-11-20,2029-11-14,Active,103992,22961.88,81030.12,13055,570814.52,Yes,2026-08-10
CCA00109,CUST00152,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-4555,Visa,Premium,2019-08-01,2019-08-08,2024-07-30,Active,995660,387889.97,607770.03,40809,6583399.08,No,2026-07-15
CCA00110,CUST00152,CC002,MoneyBack+ Credit Card,XXXX-XXXX-XXXX-7272,Visa,Classic,2025-08-15,2024-10-01,2028-11-28,Active,19061,8957.58,10103.42,53529,45573.33,Yes,2026-07-09
CCA00111,CUST00153,CC004,Regalia Gold,XXXX-XXXX-XXXX-8231,Visa,Premium,2023-03-13,2023-03-19,2028-03-11,Active,585596,217581.41,368014.59,30986,1949134.7,No,2026-08-15
CCA00112,CUST00157,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-6787,RuPay,Classic,2025-09-18,2025-09-24,2030-09-17,Active,82066,17349.44,64716.56,820,43023.67,No,2026-07-24
CCA00113,CUST00158,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-7568,RuPay,Premium,2026-04-16,2026-04-22,2031-04-15,Active,647604,534482.57,113121.43,2127,4059433.16,No,2026-08-03
CCA00114,CUST00160,CC013,Pixel Go Credit Card,XXXX-XXXX-XXXX-6912,Visa,Classic,2022-03-13,2022-03-19,2027-03-12,Active,144072,93436.84,50635.16,4712,267400.69,No,2026-08-12
CCA00115,CUST00161,CC007,Business Credit Card,XXXX-XXXX-XXXX-2593,Visa,Classic,2022-08-02,2022-08-08,2027-08-01,Active,75629,69469.37,6159.63,16389,443629.92,No,2026-08-16
CCA00116,CUST00162,CC003,Millennia Credit Card,XXXX-XXXX-XXXX-2570,Visa,Premium,2026-01-19,2026-01-26,2031-01-18,Active,174303,148870.46,25432.54,44297,652659.06,No,2026-08-06
CCA00117,CUST00163,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-7450,RuPay,Premium,2025-06-11,2025-06-15,2030-06-10,Active,739808,501701.28,238106.72,48192,1979771.96,No,2026-07-24
CCA00118,CUST00164,CC007,Business Credit Card,XXXX-XXXX-XXXX-5502,Visa,Classic,2026-06-10,2026-06-11,2031-06-09,Active,270437,216579.96,53857.04,23052,137517.68,No,2026-08-04
CCA00119,CUST00164,CC013,Pixel Go Credit Card,XXXX-XXXX-XXXX-6148,Visa,Classic,2025-11-20,2026-03-28,2028-10-15,Active,82519,43799.81,38719.19,53426,205084.71,Yes,2026-07-14
CCA00120,CUST00165,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-7997,RuPay,Premium,2024-08-13,2024-08-14,2029-08-12,Active,593549,479648.13,113900.87,17274,1267507.56,No,2026-07-20
CCA00121,CUST00166,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-5379,RuPay,Premium,2025-03-04,2025-03-04,2030-03-03,Active,722325,514932.38,207392.62,32503,529306.8,No,2026-08-04
CCA00122,CUST00167,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-1083,RuPay,Premium,2025-08-29,2025-09-03,2030-08-28,Active,85310,56060.14,29249.86,10126,277395.36,No,2026-08-14
CCA00123,CUST00171,CC010,Tata Neu Infinity,XXXX-XXXX-XXXX-8405,RuPay,Premium,2024-08-15,2024-08-22,2029-08-14,Active,1036665,694540.26,342124.74,32319,2347850.38,No,2026-08-06
CCA00124,CUST00172,CC012,IRCTC HDFC Bank Credit Card,XXXX-XXXX-XXXX-2854,RuPay,Classic,2025-03-25,2025-03-28,2030-03-24,Active,218977,52058.3,166918.7,18107,256405.27,No,2026-07-08
