customer_deposit_id,customer_id,deposit_product_id,deposit_product_name,deposit_category,deposit_status,principal_amount,interest_rate,deposit_tenure_months,maturity_date,maturity_amount,start_date,is_auto_renewal,account_id
DEP00026,CUST00055,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,304421,6.5,24,2024-12-06,343995.73,2022-12-08,Yes,ACC00062
DEP00027,CUST00056,DEP003,Recurring Deposit,Recurring Deposit,Active,101326,6.5,44,2030-01-06,125475.36,2026-05-10,Yes,ACC00063
DEP00028,CUST00058,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,262396,6.5,8,2021-06-16,273766.49,2020-10-16,Yes,ACC00065
DEP00029,CUST00063,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,195515,6.5,22,2028-03-26,218813.87,2026-05-28,Yes,ACC00070
DEP00030,CUST00064,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,199340,6.5,60,2031-07-12,264125.5,2026-07-14,Yes,ACC00071
DEP00031,CUST00065,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,284492,6.5,72,2031-05-11,395443.88,2025-05-14,Yes,ACC00073
DEP00032,CUST00067,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,2435098,6.5,7,2026-08-29,2527428.8,2026-01-29,Yes,ACC00075
DEP00033,CUST00068,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,534154,6.5,39,2028-02-18,646994.03,2024-11-20,Yes,ACC00076
DEP00034,CUST00071,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1746500,6.5,77,2028-07-25,2474936.04,2022-02-27,Yes,ACC00079
DEP00035,CUST00072,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,146156,6.5,69,2024-02-07,200781.8,2018-05-12,No,ACC00080
DEP00036,CUST00074,DEP003,Recurring Deposit,Recurring Deposit,Active,259892,6.5,77,2026-12-10,368288.62,2020-07-14,Yes,ACC00082
DEP00037,CUST00075,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,640498,6.5,16,2025-03-14,696007.83,2023-11-14,No,ACC00083
DEP00038,CUST00076,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,503774,6.5,80,2031-09-14,722076.07,2025-01-16,Yes,ACC00084
DEP00039,CUST00077,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,148277,6.5,40,2028-06-03,180403.68,2025-02-03,No,ACC00085
DEP00040,CUST00078,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,494856,6.5,79,2032-11-02,706613.13,2026-04-07,Yes,ACC00086
DEP00041,CUST00079,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,166842,6.5,49,2027-03-10,211124.65,2023-02-10,Yes,ACC00087
DEP00042,CUST00081,DEP003,Recurring Deposit,Recurring Deposit,Active,1188799,6.5,56,2030-11-26,1549401.36,2026-03-30,Yes,ACC00089
DEP00043,CUST00083,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,318580,7.0,24,2026-10-31,363181.2,2024-11-01,No,ACC00091
DEP00044,CUST00087,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,864151,6.5,80,2032-11-15,1238616.43,2026-03-20,No,ACC00095
DEP00045,CUST00088,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,12526,6.5,70,2026-07-20,17275.44,2020-09-21,Yes,ACC00096
DEP00046,CUST00089,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,61810,7.0,12,2025-04-29,66136.7,2024-04-30,No,ACC00097
DEP00047,CUST00091,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1435446,6.5,9,2024-04-09,1505423.99,2023-07-11,No,ACC00099
DEP00048,CUST00093,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,183702,6.5,47,2028-11-01,230469.47,2024-12-04,Yes,ACC00101
DEP00049,CUST00094,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,83364,6.5,30,2029-01-07,96910.65,2026-07-10,No,ACC00102
DEP00050,CUST00095,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,64193,7.0,39,2023-11-29,78796.91,2020-08-31,No,ACC00103
DEP00051,CUST00097,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,159749,6.5,31,2027-03-05,186573.52,2024-08-05,No,ACC00105
DEP00052,CUST00098,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,730433,6.5,62,2027-06-15,975736.75,2022-04-18,No,ACC00106
DEP00053,CUST00101,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,104042,6.5,74,2031-04-04,145745.5,2025-02-05,Yes,ACC00109
DEP00054,CUST00104,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,119732,6.5,84,2032-01-18,174210.06,2025-01-21,Yes,ACC00113
DEP00055,CUST00107,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,98384,6.5,8,2026-06-16,102647.31,2025-10-16,Yes,ACC00116
DEP00056,CUST00108,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,486084,6.5,12,2024-03-09,517679.46,2023-03-11,Yes,ACC00117
DEP00057,CUST00114,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1125419,6.5,7,2021-12-13,1168091.14,2021-05-15,No,ACC00123
DEP00058,CUST00116,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,233376,6.5,59,2031-03-27,307959.08,2026-04-29,No,ACC00125
DEP00059,CUST00117,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,308077,6.5,44,2029-05-06,381502.02,2025-09-07,No,ACC00126
DEP00060,CUST00118,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,56195,7.0,75,2030-03-21,80780.31,2023-12-23,Yes,ACC00128
DEP00061,CUST00119,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,194136,6.5,49,2026-05-14,245662.93,2022-04-16,Yes,ACC00129
DEP00062,CUST00120,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,252368,6.5,34,2029-05-16,298845.77,2026-07-18,No,ACC00130
DEP00063,CUST00121,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,665959,6.5,80,2029-11-11,954541.23,2023-03-16,No,ACC00131
DEP00064,CUST00122,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,349958,6.5,36,2029-04-18,418199.81,2026-04-20,No,ACC00133
DEP00065,CUST00123,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,783667,6.5,42,2025-11-14,961951.24,2022-05-18,Yes,ACC00135
DEP00066,CUST00124,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,446218,6.5,17,2022-06-18,487307.24,2021-01-18,Yes,ACC00136
DEP00067,CUST00126,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,460738,6.5,9,2026-01-26,483198.98,2025-04-28,Yes,ACC00138
DEP00068,CUST00127,DEP003,Recurring Deposit,Recurring Deposit,Active,139276,6.5,19,2026-01-19,153609.82,2024-06-21,Yes,ACC00139
DEP00069,CUST00128,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,489526,6.5,79,2032-02-22,699002.33,2025-07-27,No,ACC00140
DEP00070,CUST00130,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,28594,6.5,35,2021-12-05,34014.95,2019-01-06,No,ACC00142
DEP00071,CUST00133,DEP003,Recurring Deposit,Recurring Deposit,Active,13344,6.5,65,2027-08-11,18042.2,2022-03-14,No,ACC00145
DEP00072,CUST00137,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,394394,6.5,59,2030-11-08,520435.75,2025-12-11,No,ACC00149
DEP00073,CUST00139,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,216205,6.5,21,2027-11-08,240798.32,2026-02-08,No,ACC00151
DEP00074,CUST00140,DEP003,Recurring Deposit,Recurring Deposit,Active,390542,6.5,22,2025-10-30,437081.59,2024-01-01,No,ACC00152
DEP00075,CUST00141,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,596692,6.5,80,2031-10-24,855258.53,2025-02-25,No,ACC00153
DEP00076,CUST00143,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,212155,6.5,52,2029-04-16,271911.99,2024-12-18,No,ACC00157
DEP00077,CUST00144,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,183434,6.5,39,2029-06-12,222184.43,2026-03-15,Yes,ACC00158
DEP00078,CUST00146,DEP003,Recurring Deposit,Recurring Deposit,Active,34050,6.5,45,2028-10-28,42349.69,2025-01-29,No,ACC00160
DEP00079,CUST00147,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1146745,6.5,16,2027-09-10,1246129.57,2026-05-12,Yes,ACC00161
DEP00080,CUST00148,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,38462,6.5,60,2021-03-12,50962.15,2016-03-14,Yes,ACC00163
DEP00081,CUST00150,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,321687,6.5,58,2030-11-08,422750.33,2026-01-10,No,ACC00165
DEP00082,CUST00152,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,707294,6.5,52,2028-07-09,906515.14,2024-03-12,Yes,ACC00167
DEP00083,CUST00153,DEP003,Recurring Deposit,Recurring Deposit,Active,666166,6.5,66,2028-12-22,904320.34,2023-06-26,Yes,ACC00168
DEP00084,CUST00157,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,154080,6.5,25,2026-03-02,174945.0,2024-02-01,No,ACC00172
DEP00085,CUST00165,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,439805,6.5,10,2025-11-28,463627.77,2025-01-28,No,ACC00181
DEP00086,CUST00166,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,421624,6.5,7,2024-08-19,437610.58,2024-01-20,Yes,ACC00182
DEP00087,CUST00171,DEP003,Recurring Deposit,Recurring Deposit,Active,3762873,6.5,24,2024-11-02,4252046.49,2022-11-04,No,ACC00187
DEP00088,CUST00175,DEP003,Recurring Deposit,Recurring Deposit,Active,31817,6.5,69,2030-05-16,43708.6,2024-08-18,No,ACC00191
DEP00089,CUST00178,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,1734223,6.5,19,2021-05-27,1912703.45,2019-10-28,No,ACC00194
DEP00090,CUST00180,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,171083,6.5,7,2027-01-13,177569.9,2026-06-15,No,ACC00196
DEP00091,CUST00182,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,250791,6.5,35,2021-12-12,298336.79,2019-01-13,No,ACC00198
DEP00092,CUST00183,DEP003,Recurring Deposit,Recurring Deposit,Active,625398,6.5,18,2026-10-27,686374.3,2025-04-28,Yes,ACC00199
DEP00093,CUST00187,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,496254,6.5,78,2031-10-05,705921.32,2025-04-08,No,ACC00203
DEP00094,CUST00188,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,103372,6.5,78,2032-09-12,147046.67,2026-03-17,No,ACC00204
DEP00095,CUST00189,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1394469,6.5,69,2032-01-23,1915651.79,2026-04-27,Yes,ACC00205
DEP00096,CUST00194,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,144608,6.5,72,2028-06-17,201005.12,2022-06-21,Yes,ACC00210
DEP00097,CUST00200,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,60471,6.5,80,2032-11-24,86675.1,2026-03-29,Yes,ACC00216
DEP00098,CUST00202,DEP003,Recurring Deposit,Recurring Deposit,Active,535126,6.5,25,2025-01-21,607590.98,2022-12-23,Yes,ACC00218
DEP00099,CUST00203,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,146814,6.5,16,2026-09-14,159537.88,2025-05-16,Yes,ACC00219
DEP00100,CUST00204,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,192366,6.5,68,2030-11-11,263220.81,2025-03-15,Yes,ACC00220
DEP00101,CUST00207,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,18216,6.5,21,2024-09-10,20288.07,2022-12-12,Yes,ACC00223
DEP00102,CUST00210,DEP003,Recurring Deposit,Recurring Deposit,Active,393293,6.5,31,2027-07-16,459333.45,2024-12-16,Yes,ACC00226
DEP00103,CUST00212,DEP003,Recurring Deposit,Recurring Deposit,Active,714219,6.5,64,2031-03-29,961814.92,2025-11-30,No,ACC00228
DEP00104,CUST00213,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,148724,6.5,78,2027-12-15,211559.89,2021-06-18,No,ACC00229
DEP00105,CUST00214,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,49700,6.5,67,2030-02-26,67736.96,2024-07-31,No,ACC00230
DEP00106,CUST00215,DEP003,Recurring Deposit,Recurring Deposit,Active,605952,6.5,52,2028-04-18,776628.48,2023-12-21,Yes,ACC00231
DEP00107,CUST00222,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,806646,6.5,55,2020-10-20,1046959.29,2016-03-23,Yes,ACC00239
DEP00108,CUST00223,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,31282,6.5,59,2030-03-23,41279.21,2025-04-25,Yes,ACC00240
DEP00109,CUST00227,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,266357,6.5,66,2030-06-01,361579.63,2024-12-03,No,ACC00246
DEP00110,CUST00229,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,105061,6.5,46,2028-05-28,131238.7,2024-07-30,No,ACC00248
DEP00111,CUST00230,DEP003,Recurring Deposit,Recurring Deposit,Active,1325333,6.5,70,2031-09-17,1827855.1,2025-11-19,No,ACC00249
DEP00112,CUST00238,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,185600,6.5,55,2028-07-06,240893.33,2023-12-08,No,ACC00258
DEP00113,CUST00239,DEP003,Recurring Deposit,Recurring Deposit,Active,353435,6.5,35,2018-07-31,420440.39,2015-09-01,No,ACC00260
DEP00114,CUST00246,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,321916,6.5,58,2027-12-15,423051.28,2023-02-16,No,ACC00267
DEP00115,CUST00247,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,292786,6.5,23,2027-07-09,329262.26,2025-08-09,Yes,ACC00268
DEP00116,CUST00249,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,538497,6.5,77,2032-11-02,763095.12,2026-06-07,No,ACC00270
DEP00117,CUST00250,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1149503,6.5,49,2027-05-06,1454600.25,2023-04-08,No,ACC00272
DEP00118,CUST00253,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,960357,6.5,80,2029-12-10,1376511.7,2023-04-14,Yes,ACC00275
DEP00119,CUST00261,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,395355,6.5,82,2031-10-03,570958.51,2024-12-06,No,ACC00285
DEP00120,CUST00262,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,788772,6.5,49,2022-12-28,998125.23,2018-11-30,No,ACC00286
DEP00121,CUST00263,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,84201,7.0,37,2027-06-02,102374.38,2024-05-04,No,ACC00288
DEP00122,CUST00264,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,229539,6.5,65,2028-11-19,310355.86,2023-06-23,No,ACC00289
DEP00123,CUST00267,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,111776,6.5,20,2027-01-11,123885.07,2025-05-13,Yes,ACC00293
DEP00124,CUST00269,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,490424,6.5,36,2024-11-21,586056.68,2021-11-23,Yes,ACC00296
DEP00125,CUST00274,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,109289,6.5,51,2030-03-15,139480.09,2025-12-16,Yes,ACC00302
DEP00126,CUST00275,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,758952,6.5,7,2026-06-06,787728.93,2025-11-06,Yes,ACC00303
DEP00127,CUST00278,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,36947,7.0,57,2030-11-24,49231.88,2026-02-26,No,ACC00306
DEP00128,CUST00279,DEP003,Recurring Deposit,Recurring Deposit,Active,162449,6.5,55,2029-03-18,210845.26,2024-08-19,No,ACC00307
DEP00129,CUST00280,DEP003,Recurring Deposit,Recurring Deposit,Active,202475,6.5,40,2020-12-17,246344.58,2017-08-19,No,ACC00308
DEP00130,CUST00282,DEP003,Recurring Deposit,Recurring Deposit,Active,2150248,6.5,45,2026-02-08,2674370.95,2022-05-12,Yes,ACC00311
DEP00131,CUST00284,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,263004,6.5,81,2029-12-02,378397.01,2023-03-07,No,ACC00314
DEP00132,CUST00285,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,301271,6.5,82,2031-03-08,435085.54,2024-05-11,Yes,ACC00315
DEP00133,CUST00288,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,157728,7.0,47,2026-10-15,200971.76,2022-11-17,No,ACC00318
DEP00134,CUST00292,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,205770,6.5,17,2026-02-19,224717.99,2024-09-21,No,ACC00322
DEP00135,CUST00294,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,113128,6.5,70,2030-02-07,156022.37,2024-04-11,No,ACC00325
DEP00136,CUST00301,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,751181,6.5,12,2023-04-15,800007.77,2022-04-16,Yes,ACC00333
DEP00137,CUST00302,DEP003,Recurring Deposit,Recurring Deposit,Active,258113,6.5,22,2027-07-29,288871.47,2025-09-29,Yes,ACC00334
DEP00138,CUST00305,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,425185,6.5,26,2024-05-13,485065.22,2022-03-15,Yes,ACC00338
DEP00139,CUST00311,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,1384505,7.0,56,2025-02-01,1836776.63,2020-06-05,Yes,ACC00345
DEP00140,CUST00313,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,885335,6.5,48,2027-02-16,1115522.1,2023-02-18,No,ACC00347
DEP00141,CUST00316,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,934936,6.5,84,2033-03-18,1360331.88,2026-03-22,No,ACC00350
DEP00142,CUST00320,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,86764,6.5,60,2029-01-01,114962.3,2024-01-04,Yes,ACC00354
DEP00143,CUST00321,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,61292,6.5,77,2032-04-05,86855.87,2025-11-08,No,ACC00355
DEP00144,CUST00323,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,212318,6.5,32,2028-02-11,249119.79,2025-06-14,Yes,ACC00357
DEP00145,CUST00326,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,16404,6.5,9,2019-04-07,17203.69,2018-07-08,Yes,ACC00360
DEP00146,CUST00327,DEP003,Recurring Deposit,Recurring Deposit,Active,176166,6.5,60,2030-12-20,233419.95,2025-12-22,Yes,ACC00361
DEP00147,CUST00331,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,340876,6.5,68,2029-02-28,466431.99,2023-07-03,No,ACC00365
DEP00148,CUST00335,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,66337,6.5,68,2031-06-15,90771.13,2025-10-17,No,ACC00371
DEP00149,CUST00336,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,147915,6.5,41,2027-03-22,180764.46,2023-10-23,Yes,ACC00372
DEP00150,CUST00338,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,31798,7.0,30,2027-01-22,37362.65,2024-07-24,Yes,ACC00374
DEP00151,CUST00339,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,490841,6.5,57,2030-11-15,642388.16,2026-02-17,Yes,ACC00375
DEP00152,CUST00342,DEP003,Recurring Deposit,Recurring Deposit,Active,392929,6.5,8,2025-01-05,409955.92,2024-05-07,Yes,ACC00378
DEP00153,CUST00344,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,565915,6.5,13,2026-12-29,605764.85,2025-11-29,No,ACC00380
DEP00154,CUST00346,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,63568,6.5,15,2023-08-27,68732.9,2022-05-28,Yes,ACC00382
DEP00155,CUST00349,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,75223,6.5,6,2026-08-11,77667.75,2026-02-10,Yes,ACC00385
DEP00156,CUST00352,DEP003,Recurring Deposit,Recurring Deposit,Active,274717,6.5,20,2023-07-22,304478.01,2021-11-21,Yes,ACC00389
DEP00157,CUST00354,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,312111,6.5,19,2023-10-20,344232.42,2022-03-22,No,ACC00392
DEP00158,CUST00356,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,600941,6.5,35,2028-08-26,714869.4,2025-09-27,No,ACC00394
DEP00159,CUST00357,DEP002,Senior Citizen Fixed Deposit,Fixed Deposit,Active,2112913,7.0,47,2027-04-13,2692203.31,2023-05-16,Yes,ACC00395
DEP00160,CUST00360,DEP003,Recurring Deposit,Recurring Deposit,Active,28428,6.5,25,2022-07-19,32277.63,2020-06-19,Yes,ACC00398
DEP00161,CUST00361,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,561405,6.5,24,2023-07-03,634387.65,2021-07-04,Yes,ACC00399
DEP00162,CUST00364,DEP003,Recurring Deposit,Recurring Deposit,Active,476453,6.5,69,2027-06-29,654527.31,2021-10-01,Yes,ACC00402
DEP00163,CUST00365,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,293683,6.5,59,2031-02-07,387539.19,2026-03-12,No,ACC00403
DEP00164,CUST00366,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,80434,6.5,76,2022-07-06,113546.0,2016-03-09,Yes,ACC00404
DEP00165,CUST00367,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,166298,6.5,26,2027-02-18,189718.3,2024-12-20,No,ACC00405
DEP00166,CUST00368,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,1734907,6.5,7,2018-07-31,1800688.89,2017-12-31,Yes,ACC00406
DEP00167,CUST00375,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,1054254,6.5,42,2027-05-27,1294096.79,2023-11-28,No,ACC00413
DEP00168,CUST00377,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,580657,6.5,6,2021-04-10,599528.35,2020-10-10,Yes,ACC00416
DEP00169,CUST00379,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,945492,6.5,72,2026-09-17,1314233.88,2020-09-20,Yes,ACC00418
DEP00170,CUST00380,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,14107,6.5,58,2031-01-21,18538.95,2026-03-25,Yes,ACC00419
DEP00171,CUST00381,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,663014,6.5,23,2019-09-14,745614.49,2017-10-15,Yes,ACC00420
DEP00172,CUST00385,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,194766,6.5,46,2024-03-11,243295.2,2020-05-13,No,ACC00424
DEP00173,CUST00386,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,86186,6.5,81,2030-07-01,124000.11,2023-10-04,No,ACC00425
DEP00174,CUST00389,DEP001,Regular Fixed Deposit,Fixed Deposit,Active,152661,6.5,54,2027-07-01,197314.34,2023-01-02,Yes,ACC00428
DEP00175,CUST00390,DEP004,Tax Saving Fixed Deposit,Tax Saving FD,Active,108879,6.5,68,2025-10-16,148982.77,2020-02-18,Yes,ACC00429
