customer_debit_card_id,customer_id,account_id,debit_card_product_id,card_name,card_number_masked,card_network,card_status,issue_date,expiry_date,international_enabled,daily_atm_limit,daily_pos_limit
DBC00038,CUST00038,ACC00042,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-8126,Visa,Active,2023-12-11,2028-12-11,Yes,25000,75000
DBC00039,CUST00039,ACC00044,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-9999,Mastercard,Active,2020-10-28,2025-10-28,No,15000,40000
DBC00040,CUST00040,ACC00045,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-3466,Visa,Active,2024-03-18,2029-03-18,Yes,25000,75000
DBC00041,CUST00041,ACC00046,DB007,Business Debit Card,XXXX-XXXX-XXXX-9346,Visa,Active,2020-08-24,2025-08-24,Yes,50000,200000
DBC00042,CUST00042,ACC00048,DB007,Business Debit Card,XXXX-XXXX-XXXX-8630,Visa,Active,2015-10-10,2020-10-10,Yes,50000,200000
DBC00043,CUST00043,ACC00049,DB007,Business Debit Card,XXXX-XXXX-XXXX-9222,Visa,Active,2025-05-03,2030-05-03,Yes,50000,200000
DBC00044,CUST00044,ACC00050,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-9971,Mastercard,Active,2022-09-05,2027-09-05,No,15000,40000
DBC00045,CUST00045,ACC00051,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-4697,Mastercard,Active,2024-10-01,2029-10-01,No,15000,40000
DBC00046,CUST00046,ACC00052,DB007,Business Debit Card,XXXX-XXXX-XXXX-9560,Visa,Active,2025-01-12,2030-01-12,Yes,50000,200000
DBC00047,CUST00047,ACC00053,DB001,Millennia Debit Card,XXXX-XXXX-XXXX-2373,Visa,Active,2023-10-19,2028-10-19,Yes,25000,100000
DBC00048,CUST00048,ACC00055,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-3023,RuPay,Active,2025-08-27,2030-08-27,No,10000,20000
DBC00049,CUST00049,ACC00056,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-1805,Mastercard,Active,2023-01-13,2028-01-13,No,15000,40000
DBC00050,CUST00050,ACC00057,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-6875,Mastercard,Active,2022-04-28,2027-04-28,No,15000,40000
DBC00051,CUST00051,ACC00058,DB001,Millennia Debit Card,XXXX-XXXX-XXXX-3261,Visa,Active,2020-06-22,2025-06-22,Yes,25000,100000
DBC00052,CUST00052,ACC00059,DB007,Business Debit Card,XXXX-XXXX-XXXX-4921,Visa,Active,2021-11-17,2026-11-17,Yes,50000,200000
DBC00053,CUST00053,ACC00060,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-9610,RuPay,Active,2026-07-09,2031-07-09,No,10000,20000
DBC00054,CUST00054,ACC00061,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-6484,Mastercard,Active,2023-03-21,2028-03-21,No,15000,40000
DBC00055,CUST00055,ACC00062,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-1999,RuPay,Active,2025-05-26,2030-05-26,No,10000,20000
DBC00056,CUST00056,ACC00063,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-1670,Mastercard,Active,2023-10-18,2028-10-18,No,15000,40000
DBC00057,CUST00057,ACC00064,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-9995,Visa,Active,2018-09-12,2023-09-12,No,10000,25000
DBC00058,CUST00058,ACC00065,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-9476,RuPay,Active,2023-09-09,2028-09-09,No,10000,20000
DBC00059,CUST00059,ACC00066,DB003,Classic Debit Card,XXXX-XXXX-XXXX-1782,Visa,Active,2024-04-25,2029-04-25,No,10000,25000
DBC00060,CUST00060,ACC00067,DB007,Business Debit Card,XXXX-XXXX-XXXX-6933,Visa,Active,2023-08-24,2028-08-24,Yes,50000,200000
DBC00061,CUST00061,ACC00068,DB003,Classic Debit Card,XXXX-XXXX-XXXX-3009,Visa,Active,2019-08-11,2024-08-11,No,10000,25000
DBC00062,CUST00062,ACC00069,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-7676,Visa,Active,2025-01-20,2030-01-20,Yes,25000,75000
DBC00063,CUST00063,ACC00070,DB003,Classic Debit Card,XXXX-XXXX-XXXX-3318,Visa,Active,2024-02-23,2029-02-23,No,10000,25000
DBC00064,CUST00064,ACC00071,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-2398,Visa,Active,2023-12-03,2028-12-03,No,10000,25000
DBC00065,CUST00065,ACC00073,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-8911,Visa,Active,2026-01-01,2031-01-01,Yes,25000,75000
DBC00066,CUST00066,ACC00074,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-1869,Mastercard,Active,2026-04-07,2031-04-07,No,15000,40000
DBC00067,CUST00067,ACC00075,DB007,Business Debit Card,XXXX-XXXX-XXXX-2354,Visa,Active,2026-06-23,2031-06-23,Yes,50000,200000
DBC00068,CUST00068,ACC00076,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-8455,Visa,Active,2023-04-28,2028-04-28,No,10000,25000
DBC00069,CUST00069,ACC00077,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-6024,Mastercard,Active,2021-10-31,2026-10-31,No,15000,40000
DBC00070,CUST00070,ACC00078,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-8674,Visa,Active,2023-01-08,2028-01-08,No,10000,25000
DBC00071,CUST00071,ACC00079,DB007,Business Debit Card,XXXX-XXXX-XXXX-3138,Visa,Active,2026-01-05,2031-01-05,Yes,50000,200000
DBC00072,CUST00072,ACC00080,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-3158,RuPay,Active,2022-05-14,2027-05-14,No,10000,20000
DBC00073,CUST00073,ACC00081,DB003,Classic Debit Card,XXXX-XXXX-XXXX-9013,Visa,Active,2025-10-18,2030-10-18,No,10000,25000
DBC00074,CUST00074,ACC00082,DB007,Business Debit Card,XXXX-XXXX-XXXX-4541,Visa,Active,2024-06-29,2029-06-29,Yes,50000,200000
DBC00075,CUST00075,ACC00083,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-8663,Visa,Active,2025-10-14,2030-10-14,No,10000,25000
DBC00076,CUST00076,ACC00084,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-5427,RuPay,Active,2024-09-18,2029-09-18,No,10000,20000
DBC00077,CUST00077,ACC00085,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-3986,RuPay,Active,2025-03-12,2030-03-12,No,10000,20000
DBC00078,CUST00078,ACC00086,DB003,Classic Debit Card,XXXX-XXXX-XXXX-8083,Visa,Active,2025-12-27,2030-12-27,No,10000,25000
DBC00079,CUST00079,ACC00087,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-1734,Visa,Active,2020-06-19,2025-06-19,No,10000,25000
DBC00080,CUST00080,ACC00088,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-8081,Mastercard,Active,2026-01-02,2031-01-02,No,15000,40000
DBC00081,CUST00081,ACC00089,DB007,Business Debit Card,XXXX-XXXX-XXXX-7921,Visa,Active,2022-12-30,2027-12-30,Yes,50000,200000
DBC00082,CUST00082,ACC00090,DB007,Business Debit Card,XXXX-XXXX-XXXX-8505,Visa,Active,2026-01-09,2031-01-09,Yes,50000,200000
DBC00083,CUST00083,ACC00091,DB003,Classic Debit Card,XXXX-XXXX-XXXX-9253,Visa,Active,2025-12-01,2030-12-01,No,10000,25000
DBC00084,CUST00084,ACC00092,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-2765,Mastercard,Active,2021-05-03,2026-05-03,No,15000,40000
DBC00085,CUST00085,ACC00093,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-6076,RuPay,Active,2026-04-15,2031-04-15,No,10000,20000
DBC00086,CUST00086,ACC00094,DB003,Classic Debit Card,XXXX-XXXX-XXXX-4022,Visa,Active,2025-11-19,2030-11-19,No,10000,25000
DBC00087,CUST00087,ACC00095,DB003,Classic Debit Card,XXXX-XXXX-XXXX-3498,Visa,Active,2022-12-22,2027-12-22,No,10000,25000
DBC00088,CUST00088,ACC00096,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-2897,Visa,Active,2017-08-20,2022-08-20,Yes,25000,75000
DBC00089,CUST00089,ACC00097,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-8499,RuPay,Active,2022-04-11,2027-04-11,No,10000,20000
DBC00090,CUST00090,ACC00098,DB007,Business Debit Card,XXXX-XXXX-XXXX-2160,Visa,Active,2023-06-20,2028-06-20,Yes,50000,200000
DBC00091,CUST00091,ACC00099,DB007,Business Debit Card,XXXX-XXXX-XXXX-7932,Visa,Active,2025-04-19,2030-04-19,Yes,50000,200000
DBC00092,CUST00092,ACC00100,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-6399,Mastercard,Active,2025-06-19,2030-06-19,No,15000,40000
DBC00093,CUST00093,ACC00101,DB003,Classic Debit Card,XXXX-XXXX-XXXX-2989,Visa,Active,2026-03-24,2031-03-24,No,10000,25000
DBC00094,CUST00094,ACC00102,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-1878,Mastercard,Active,2025-12-16,2030-12-16,No,15000,40000
DBC00095,CUST00095,ACC00103,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-3288,RuPay,Active,2020-10-11,2025-10-11,No,10000,20000
DBC00096,CUST00096,ACC00104,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-7591,RuPay,Active,2021-11-08,2026-11-08,No,10000,20000
DBC00097,CUST00097,ACC00105,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-1368,Mastercard,Active,2022-03-22,2027-03-22,No,15000,40000
DBC00098,CUST00098,ACC00106,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-8062,Visa,Active,2021-05-20,2026-05-20,Yes,25000,75000
DBC00099,CUST00099,ACC00107,DB003,Classic Debit Card,XXXX-XXXX-XXXX-8402,Visa,Active,2020-08-06,2025-08-06,No,10000,25000
DBC00100,CUST00100,ACC00108,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-2571,Visa,Active,2025-12-27,2030-12-27,No,10000,25000
DBC00101,CUST00101,ACC00109,DB007,Business Debit Card,XXXX-XXXX-XXXX-2745,Visa,Active,2023-05-14,2028-05-14,Yes,50000,200000
DBC00102,CUST00102,ACC00110,DB001,Millennia Debit Card,XXXX-XXXX-XXXX-1300,Visa,Active,2024-06-19,2029-06-19,Yes,25000,100000
DBC00103,CUST00103,ACC00112,DB007,Business Debit Card,XXXX-XXXX-XXXX-8850,Visa,Active,2023-12-03,2028-12-03,Yes,50000,200000
DBC00104,CUST00104,ACC00113,DB007,Business Debit Card,XXXX-XXXX-XXXX-6074,Visa,Active,2023-12-02,2028-12-02,Yes,50000,200000
DBC00105,CUST00105,ACC00114,DB007,Business Debit Card,XXXX-XXXX-XXXX-9758,Visa,Active,2024-01-02,2029-01-02,Yes,50000,200000
DBC00106,CUST00106,ACC00115,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-2527,RuPay,Active,2019-07-10,2024-07-10,No,10000,20000
DBC00107,CUST00107,ACC00116,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-4545,Visa,Active,2026-01-24,2031-01-24,No,10000,25000
DBC00108,CUST00108,ACC00117,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-2842,RuPay,Active,2025-07-28,2030-07-28,No,10000,20000
DBC00109,CUST00109,ACC00118,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-3898,Visa,Active,2022-06-29,2027-06-29,Yes,25000,75000
DBC00110,CUST00110,ACC00119,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-3018,RuPay,Active,2025-01-17,2030-01-17,No,10000,20000
DBC00111,CUST00111,ACC00120,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-8422,Mastercard,Active,2023-10-21,2028-10-21,No,15000,40000
DBC00112,CUST00112,ACC00121,DB007,Business Debit Card,XXXX-XXXX-XXXX-3877,Visa,Active,2021-04-23,2026-04-23,Yes,50000,200000
DBC00113,CUST00113,ACC00122,DB007,Business Debit Card,XXXX-XXXX-XXXX-7479,Visa,Active,2021-11-18,2026-11-18,Yes,50000,200000
DBC00114,CUST00114,ACC00123,DB007,Business Debit Card,XXXX-XXXX-XXXX-9383,Visa,Active,2023-09-24,2028-09-24,Yes,50000,200000
DBC00115,CUST00115,ACC00124,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-5184,Mastercard,Active,2020-05-18,2025-05-18,No,15000,40000
DBC00116,CUST00116,ACC00125,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-9876,Mastercard,Active,2023-04-16,2028-04-16,No,15000,40000
DBC00117,CUST00117,ACC00126,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-1462,Visa,Active,2024-08-08,2029-08-08,Yes,25000,75000
DBC00118,CUST00118,ACC00128,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-3285,Visa,Active,2021-07-21,2026-07-21,Yes,25000,75000
DBC00119,CUST00119,ACC00129,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-3745,Visa,Active,2026-04-06,2031-04-06,Yes,25000,75000
DBC00120,CUST00120,ACC00130,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-3842,Mastercard,Active,2026-07-19,2031-07-19,No,15000,40000
DBC00121,CUST00121,ACC00131,DB002,Platinum Debit Card,XXXX-XXXX-XXXX-5563,Visa,Active,2023-04-12,2028-04-12,Yes,25000,75000
DBC00122,CUST00122,ACC00133,DB007,Business Debit Card,XXXX-XXXX-XXXX-8549,Visa,Active,2025-04-14,2030-04-14,Yes,50000,200000
DBC00123,CUST00123,ACC00135,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-3220,Visa,Active,2022-10-04,2027-10-04,Yes,25000,75000
DBC00124,CUST00124,ACC00136,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-5955,Visa,Active,2026-04-26,2031-04-26,No,10000,25000
DBC00125,CUST00125,ACC00137,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-2148,RuPay,Active,2026-01-27,2031-01-27,No,10000,20000
DBC00126,CUST00126,ACC00138,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-1375,RuPay,Active,2024-04-03,2029-04-03,No,10000,20000
DBC00127,CUST00127,ACC00139,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-1990,RuPay,Active,2023-01-04,2028-01-04,No,10000,20000
DBC00128,CUST00128,ACC00140,DB007,Business Debit Card,XXXX-XXXX-XXXX-3803,Visa,Active,2026-04-01,2031-04-01,Yes,50000,200000
DBC00129,CUST00129,ACC00141,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-6454,Mastercard,Active,2019-09-14,2024-09-14,No,15000,40000
DBC00130,CUST00130,ACC00142,DB007,Business Debit Card,XXXX-XXXX-XXXX-7222,Visa,Active,2023-05-28,2028-05-28,Yes,50000,200000
DBC00131,CUST00131,ACC00143,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-8388,Visa,Active,2022-06-08,2027-06-08,No,10000,25000
DBC00132,CUST00132,ACC00144,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-8776,RuPay,Active,2025-01-13,2030-01-13,No,10000,20000
DBC00133,CUST00133,ACC00145,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-2492,Mastercard,Active,2025-03-12,2030-03-12,No,15000,40000
DBC00134,CUST00134,ACC00146,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-3768,Mastercard,Active,2026-07-12,2031-07-12,No,15000,40000
DBC00135,CUST00135,ACC00147,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-2195,Visa,Active,2024-12-05,2029-12-05,No,10000,25000
DBC00136,CUST00136,ACC00148,DB007,Business Debit Card,XXXX-XXXX-XXXX-9457,Visa,Active,2025-05-05,2030-05-05,Yes,50000,200000
DBC00137,CUST00137,ACC00149,DB007,Business Debit Card,XXXX-XXXX-XXXX-7715,Visa,Active,2026-04-07,2031-04-07,Yes,50000,200000
DBC00138,CUST00138,ACC00150,DB007,Business Debit Card,XXXX-XXXX-XXXX-7474,Visa,Active,2024-11-07,2029-11-07,Yes,50000,200000
DBC00139,CUST00139,ACC00151,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-3895,Mastercard,Active,2025-06-01,2030-06-01,No,15000,40000
DBC00140,CUST00140,ACC00152,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-6032,Visa,Active,2025-06-01,2030-06-01,No,10000,25000
DBC00141,CUST00141,ACC00153,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-9585,Visa,Active,2026-01-22,2031-01-22,Yes,25000,75000
DBC00142,CUST00142,ACC00155,DB007,Business Debit Card,XXXX-XXXX-XXXX-8663,Visa,Active,2019-02-04,2024-02-04,Yes,50000,200000
DBC00143,CUST00143,ACC00157,DB007,Business Debit Card,XXXX-XXXX-XXXX-6948,Visa,Active,2025-04-04,2030-04-04,Yes,50000,200000
DBC00144,CUST00144,ACC00158,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-8291,RuPay,Active,2021-06-29,2026-06-29,No,10000,20000
DBC00145,CUST00145,ACC00159,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-3906,RuPay,Active,2025-04-28,2030-04-28,No,10000,20000
DBC00146,CUST00146,ACC00160,DB007,Business Debit Card,XXXX-XXXX-XXXX-2899,Visa,Active,2025-04-29,2030-04-29,Yes,50000,200000
DBC00147,CUST00147,ACC00161,DB007,Business Debit Card,XXXX-XXXX-XXXX-7544,Visa,Active,2022-02-17,2027-02-17,Yes,50000,200000
DBC00148,CUST00148,ACC00163,DB003,Classic Debit Card,XXXX-XXXX-XXXX-7628,Visa,Active,2026-01-07,2031-01-07,No,10000,25000
DBC00149,CUST00149,ACC00164,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-6335,Mastercard,Active,2024-03-12,2029-03-12,No,15000,40000
DBC00150,CUST00150,ACC00165,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-7347,RuPay,Active,2025-07-27,2030-07-27,No,10000,20000
DBC00151,CUST00151,ACC00166,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-2024,Mastercard,Active,2025-01-08,2030-01-08,No,15000,40000
DBC00152,CUST00152,ACC00167,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-5976,RuPay,Active,2026-03-07,2031-03-07,No,10000,20000
DBC00153,CUST00153,ACC00168,DB007,Business Debit Card,XXXX-XXXX-XXXX-5124,Visa,Active,2021-11-13,2026-11-13,Yes,50000,200000
DBC00154,CUST00154,ACC00169,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-2132,RuPay,Active,2025-11-13,2030-11-13,No,10000,20000
DBC00155,CUST00155,ACC00170,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-5940,Visa,Active,2025-10-29,2030-10-29,No,10000,25000
DBC00156,CUST00156,ACC00171,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-4561,Visa,Active,2023-05-07,2028-05-07,No,10000,25000
DBC00157,CUST00157,ACC00172,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-8591,Mastercard,Active,2024-01-26,2029-01-26,No,15000,40000
DBC00158,CUST00158,ACC00173,DB007,Business Debit Card,XXXX-XXXX-XXXX-5904,Visa,Active,2026-01-06,2031-01-06,Yes,50000,200000
DBC00159,CUST00159,ACC00174,DB003,Classic Debit Card,XXXX-XXXX-XXXX-2362,Visa,Active,2018-04-14,2023-04-14,No,10000,25000
DBC00160,CUST00160,ACC00175,DB008,Titanium Debit Card,XXXX-XXXX-XXXX-3904,Mastercard,Active,2022-02-08,2027-02-08,No,15000,40000
DBC00161,CUST00161,ACC00176,DB007,Business Debit Card,XXXX-XXXX-XXXX-3560,Visa,Active,2020-05-26,2025-05-26,Yes,50000,200000
DBC00162,CUST00162,ACC00177,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-3571,RuPay,Active,2024-04-12,2029-04-12,No,10000,20000
DBC00163,CUST00163,ACC00178,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-7269,Visa,Active,2025-01-04,2030-01-04,Yes,25000,75000
DBC00164,CUST00164,ACC00179,DB007,Business Debit Card,XXXX-XXXX-XXXX-5533,Visa,Active,2026-02-01,2031-02-01,Yes,50000,200000
DBC00165,CUST00165,ACC00181,DB005,MoneyBack Debit Card,XXXX-XXXX-XXXX-8560,Visa,Active,2024-11-16,2029-11-16,No,10000,25000
DBC00166,CUST00166,ACC00182,DB001,Millennia Debit Card,XXXX-XXXX-XXXX-9016,Visa,Active,2025-04-11,2030-04-11,Yes,25000,100000
DBC00167,CUST00167,ACC00183,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-1392,RuPay,Active,2024-07-21,2029-07-21,No,10000,20000
DBC00168,CUST00168,ACC00184,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-1908,RuPay,Active,2026-01-02,2031-01-02,No,10000,20000
DBC00169,CUST00169,ACC00185,DB004,RuPay Debit Card,XXXX-XXXX-XXXX-9622,RuPay,Active,2024-07-02,2029-07-02,No,10000,20000
DBC00170,CUST00170,ACC00186,DB006,Women's Advantage Debit Card,XXXX-XXXX-XXXX-5819,Visa,Active,2024-06-14,2029-06-14,Yes,25000,75000
DBC00171,CUST00171,ACC00187,DB007,Business Debit Card,XXXX-XXXX-XXXX-2015,Visa,Active,2023-09-27,2028-09-27,Yes,50000,200000
DBC00172,CUST00172,ACC00188,DB007,Business Debit Card,XXXX-XXXX-XXXX-3507,Visa,Active,2025-01-16,2030-01-16,Yes,50000,200000
