customer_loan_id,customer_id,loan_product_id,loan_product_name,loan_category,loan_purpose,loan_status,disbursement_date,disbursed_amount,outstanding_principal,interest_rate,original_tenure_months,remaining_tenure_months,emi_amount,emi_due_date,last_payment_date,collateral_provided,account_id
LOAN00080,CUST00193,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-05-30,61854,10309.0,13.5,12,2,5539.15,6,2026-08-14,No,ACC00209
LOAN00081,CUST00195,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2021-07-21,469663,117415.75,13.5,12,3,42059.27,13,2026-07-18,No,ACC00211
LOAN00082,CUST00198,LN001,Personal Loan,Personal,General,Active,2025-03-29,2055313,1881133.93,13.0,59,54,47328.83,6,2026-08-03,No,ACC00214
LOAN00083,CUST00203,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-11-27,257651,150296.42,13.5,12,7,23073.17,8,2026-07-26,No,ACC00219
LOAN00084,CUST00206,LN004,Used Car Loan,Auto,General,Active,2021-02-16,681397,52415.15,12.5,13,1,56316.28,16,2026-08-13,Yes,ACC00222
LOAN00085,CUST00209,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2017-09-12,2594257,471683.09,8.75,22,4,128060.25,1,2026-08-02,Yes,ACC00225
LOAN00086,CUST00211,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-05-22,4361273,4137617.97,8.75,78,74,73511.62,1,2026-07-17,Yes,ACC00227
LOAN00087,CUST00213,LN002,Home Loan,Home,Home Purchase / Construction,Active,2020-10-29,15932662,14131578.47,8.7,345,306,125929.38,5,2026-08-02,Yes,ACC00229
LOAN00088,CUST00214,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2017-05-31,316895,288933.68,13.5,34,31,11268.04,23,2026-08-09,No,ACC00230
LOAN00089,CUST00215,LN001,Personal Loan,Personal,General,Active,2023-11-03,160501,122736.06,13.0,34,26,5668.49,18,2026-08-05,No,ACC00231
LOAN00090,CUST00218,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-05-28,10246426,4430886.92,8.75,37,16,316967.26,14,2026-07-24,Yes,ACC00235
LOAN00091,CUST00220,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2019-03-25,34210,25657.5,13.5,12,9,3063.57,9,2026-08-13,No,ACC00237
LOAN00092,CUST00223,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-11-05,12521861,9324790.11,8.75,47,35,315638.44,1,2026-07-21,Yes,ACC00240
LOAN00093,CUST00225,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-05-27,212938,141958.67,13.5,12,8,19069.03,20,2026-08-10,No,ACC00243
LOAN00094,CUST00226,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2023-05-21,7962864,5414747.52,13.5,50,34,209096.65,12,2026-08-15,No,ACC00244
LOAN00095,CUST00228,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2023-06-19,677510,548460.48,7.5,21,17,34526.47,6,2026-07-18,No,ACC00247
LOAN00096,CUST00231,LN001,Personal Loan,Personal,General,Active,2022-11-06,1451672,193556.27,13.0,30,4,56936.82,24,2026-08-05,No,ACC00250
LOAN00097,CUST00232,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2018-09-01,1066569,627393.53,9.5,17,10,67303.5,10,2026-08-08,Yes,ACC00251
LOAN00098,CUST00233,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2021-03-24,37971039,21906368.65,13.5,52,30,968491.77,17,2026-07-22,No,ACC00252
LOAN00099,CUST00234,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2025-09-21,451642,192188.09,15.5,47,20,12879.66,25,2026-07-15,Yes,ACC00254
LOAN00100,CUST00237,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2024-06-08,5232606,3139563.6,13.5,45,27,148825.61,7,2026-07-16,No,ACC00257
LOAN00101,CUST00238,LN001,Personal Loan,Personal,General,Active,2022-04-12,464095,83299.1,13.0,39,7,14653.61,24,2026-07-30,No,ACC00258
LOAN00102,CUST00239,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2020-04-16,16712236,9495588.64,13.5,44,25,483643.65,15,2026-07-17,No,ACC00260
LOAN00103,CUST00240,LN007,Gold Loan,Gold,Personal / Emergency,Active,2023-11-06,4764162,1488800.62,8.5,16,5,316004.05,13,2026-08-05,Yes,ACC00261
LOAN00104,CUST00244,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2019-02-18,4568519,2520562.21,8.75,58,32,96876.77,24,2026-07-29,Yes,ACC00265
LOAN00105,CUST00245,LN004,Used Car Loan,Auto,General,Active,2024-07-20,1813771,1303647.91,12.5,32,23,66942.92,20,2026-07-15,Yes,ACC00266
LOAN00106,CUST00246,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-02-26,10701595,10207675.23,8.75,65,62,207315.15,14,2026-07-24,Yes,ACC00267
LOAN00107,CUST00250,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2023-09-07,53069,22112.08,13.5,12,5,4752.44,14,2026-07-28,No,ACC00272
LOAN00108,CUST00254,LN004,Used Car Loan,Auto,General,Active,2023-10-21,4515082,250837.89,12.5,36,2,151045.86,12,2026-07-27,Yes,ACC00276
LOAN00109,CUST00255,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-07-08,5532437,1464468.62,8.75,34,9,184311.17,23,2026-08-05,Yes,ACC00277
LOAN00110,CUST00256,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2018-04-28,6331899,603038.0,8.75,21,2,326288.79,12,2026-07-23,Yes,ACC00279
LOAN00111,CUST00258,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2024-06-25,7964717,7126325.74,8.75,38,34,240733.51,25,2026-08-09,Yes,ACC00281
LOAN00112,CUST00259,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-12-15,4978080,3685072.21,8.75,77,57,84718.48,1,2026-08-05,Yes,ACC00283
LOAN00113,CUST00260,LN004,Used Car Loan,Auto,General,Active,2022-12-06,3569997,984826.76,12.5,29,8,143267.04,8,2026-07-23,Yes,ACC00284
LOAN00114,CUST00262,LN004,Used Car Loan,Auto,General,Active,2016-09-23,1788012,1144327.68,12.5,50,32,46059.36,13,2026-08-01,Yes,ACC00286
LOAN00115,CUST00264,LN004,Used Car Loan,Auto,General,Active,2020-05-22,404937,83780.07,12.5,58,12,9337.03,25,2026-08-09,Yes,ACC00289
LOAN00116,CUST00268,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2026-01-10,35981057,33634466.33,13.5,46,43,1006264.83,7,2026-08-07,No,ACC00294
LOAN00117,CUST00270,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2024-03-04,424934,106233.5,13.5,12,3,38053.7,22,2026-08-04,No,ACC00297
LOAN00118,CUST00273,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2023-05-05,1849257,1490445.94,8.75,67,54,34988.26,2,2026-07-28,Yes,ACC00301
LOAN00119,CUST00277,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-11-24,1237908,1138076.71,8.75,62,57,24889.85,21,2026-07-14,Yes,ACC00305
LOAN00120,CUST00281,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2022-06-02,415519,138506.33,15.5,21,7,22718.09,23,2026-08-14,Yes,ACC00309
LOAN00121,CUST00285,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2026-03-21,387276,279699.33,15.5,18,13,24251.36,24,2026-07-20,Yes,ACC00315
LOAN00122,CUST00287,LN002,Home Loan,Home,Home Purchase / Construction,Active,2021-05-06,7022861,453087.81,8.7,62,4,141033.95,1,2026-08-02,Yes,ACC00317
LOAN00123,CUST00289,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-12-10,437598,255265.5,13.5,12,7,39187.79,21,2026-07-18,No,ACC00319
LOAN00124,CUST00291,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-05-16,251064,45062.77,15.5,39,7,8235.18,21,2026-08-14,Yes,ACC00321
LOAN00125,CUST00293,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-11-02,151535,121228.0,15.5,20,16,8646.06,11,2026-07-29,Yes,ACC00324
LOAN00126,CUST00294,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-03-11,37084,15451.67,13.5,12,5,3320.95,7,2026-07-17,No,ACC00325
LOAN00127,CUST00295,LN004,Used Car Loan,Auto,General,Active,2023-06-17,1638409,1186434.1,12.5,29,21,65750.76,16,2026-07-30,Yes,ACC00326
LOAN00128,CUST00298,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-04-20,479813,68544.71,15.5,14,2,37684.76,3,2026-07-27,Yes,ACC00329
LOAN00129,CUST00302,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2022-06-15,5355003,2975001.67,8.75,18,10,318532.34,4,2026-07-30,Yes,ACC00334
LOAN00130,CUST00304,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2020-12-24,208857,21984.95,15.5,19,2,12466.95,13,2026-07-28,Yes,ACC00337
LOAN00131,CUST00309,LN002,Home Loan,Home,Home Purchase / Construction,Active,2021-10-13,3582868,3251413.25,8.7,227,206,32228.68,26,2026-08-17,Yes,ACC00343
LOAN00132,CUST00310,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2021-08-30,441036,294024.0,13.5,12,8,39495.67,21,2026-07-25,No,ACC00344
LOAN00133,CUST00312,LN001,Personal Loan,Personal,General,Active,2023-10-20,2524581,1950812.59,13.0,44,34,72438.41,14,2026-07-14,No,ACC00346
LOAN00134,CUST00315,LN004,Used Car Loan,Auto,General,Active,2026-01-05,1378724,892115.53,12.5,17,11,88914.67,9,2026-08-10,Yes,ACC00349
LOAN00135,CUST00321,LN005,Two-Wheeler Loan,Two-Wheeler,General,Active,2023-02-16,303383,65596.32,15.5,37,8,10366.22,2,2026-07-14,Yes,ACC00355
LOAN00136,CUST00322,LN001,Personal Loan,Personal,General,Active,2025-07-21,1294513,105674.53,13.0,49,4,34187.6,28,2026-08-02,No,ACC00356
LOAN00137,CUST00324,LN004,Used Car Loan,Auto,General,Active,2023-08-20,2101783,1261069.8,12.5,35,21,71970.24,4,2026-08-02,Yes,ACC00358
LOAN00138,CUST00325,LN002,Home Loan,Home,Home Purchase / Construction,Active,2021-09-12,2706995,2411272.86,8.7,119,106,34031.98,23,2026-07-16,Yes,ACC00359
LOAN00139,CUST00328,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2021-11-19,429812,322359.0,13.5,12,9,38490.54,4,2026-07-28,No,ACC00362
LOAN00140,CUST00329,LN006,Education Loan,Education,Education,Active,2021-05-29,183825,99571.88,10.5,24,13,8525.08,26,2026-08-04,No,ACC00363
LOAN00141,CUST00330,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2025-07-22,3714800,3311017.39,8.75,46,41,95347.11,23,2026-07-24,Yes,ACC00364
LOAN00142,CUST00332,LN004,Used Car Loan,Auto,General,Active,2024-04-27,3497433,2040169.25,12.5,48,28,92961.77,27,2026-07-30,Yes,ACC00366
LOAN00143,CUST00334,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2015-12-27,195653,32608.83,13.5,12,2,17521.12,12,2026-07-21,No,ACC00369
LOAN00144,CUST00336,LN002,Home Loan,Home,Home Purchase / Construction,Active,2025-01-06,3132146,3090197.62,8.7,224,221,28323.71,4,2026-07-22,Yes,ACC00372
LOAN00145,CUST00338,LN007,Gold Loan,Gold,Personal / Emergency,Active,2022-05-05,2375767,950306.8,8.5,15,6,167507.37,11,2026-07-20,Yes,ACC00374
LOAN00146,CUST00340,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-07-12,486834,365125.5,13.5,12,9,43596.97,19,2026-07-29,No,ACC00376
LOAN00147,CUST00343,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-10-07,374653,62442.17,13.5,12,2,33550.94,19,2026-07-28,No,ACC00379
LOAN00148,CUST00347,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2021-10-05,2308584,1240433.19,8.75,67,36,43678.81,17,2026-07-17,Yes,ACC00383
LOAN00149,CUST00348,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2025-04-28,7706968,5137978.67,13.5,15,10,561246.18,12,2026-07-20,No,ACC00384
LOAN00150,CUST00351,LN013,Tractor Loan,Agriculture,Tractor / Farm Equipment,Active,2025-01-14,907808,726246.4,9.5,45,36,24058.74,6,2026-07-17,Yes,ACC00388
LOAN00151,CUST00352,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2023-07-26,6940520,3943477.27,13.5,44,25,200855.14,2,2026-07-30,No,ACC00389
LOAN00152,CUST00355,LN008,Business Loan,Business,Business Expansion / Working Capital,Active,2023-07-05,14746171,6071952.76,13.5,34,14,524338.92,28,2026-08-05,No,ACC00393
LOAN00153,CUST00357,LN012,Agriculture / Kisan Credit Card,Agriculture,Agriculture / Crop Production,Active,2023-06-04,764763,310039.05,7.5,37,15,23215.42,13,2026-08-07,No,ACC00395
LOAN00154,CUST00359,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-07-16,174069,87034.5,13.5,12,6,15588.23,14,2026-07-24,No,ACC00397
LOAN00155,CUST00362,LN003,New Car Loan,Auto,New Vehicle Purchase,Active,2021-08-31,6432270,2184544.53,8.75,53,18,146757.79,14,2026-07-14,Yes,ACC00400
LOAN00156,CUST00372,LN004,Used Car Loan,Auto,General,Active,2022-11-15,1962054,150927.23,12.5,13,1,162160.36,21,2026-08-16,Yes,ACC00410
LOAN00157,CUST00374,LN014,Overdraft Facility,Personal,Emergency / Short Term,Active,2025-01-21,121759,20293.17,13.5,12,2,10903.77,13,2026-08-13,No,ACC00412
