customer_investment_id,customer_id,investment_product_id,investment_product_name,investment_category,provider,investment_type,investment_mode,monthly_amount,initial_investment_amount,total_invested_amount,current_value,start_date,status
INV00028,CUST00020,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,174963,174963,169661.01,2025-11-20,Active
INV00029,CUST00021,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,8932,8932,80388,83949.67,2025-03-31,Active
INV00030,CUST00021,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,72512,72512,86915.14,2025-03-31,Active
INV00031,CUST00023,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,13219,13219,105752,124035.97,2018-12-08,Active
INV00032,CUST00023,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2018-12-08,Active
INV00033,CUST00023,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,125727,125727,173068.34,2018-12-08,Active
INV00034,CUST00025,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,15500,19555.67,2026-03-25,Active
INV00035,CUST00025,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,29916,29916,31838.59,2026-03-25,Active
INV00036,CUST00026,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,4392,4392,35136,42864.15,2024-06-29,Active
INV00037,CUST00027,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,49657,49657,595884,770590.76,2025-01-19,Active
INV00038,CUST00027,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,215130,215130,210068.51,2025-01-19,Active
INV00039,CUST00028,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,297936,297936,397174.65,2022-07-29,Active
INV00040,CUST00028,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,963,963,13482,14357.71,2022-07-29,Active
INV00041,CUST00030,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,49082,49082,60669.29,2019-05-24,Active
INV00042,CUST00031,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,74059,74059,81064.55,2024-10-17,Active
INV00043,CUST00032,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,27333,27333,382662,475062.37,2025-12-21,Active
INV00044,CUST00032,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,36854,36854,47504.55,2025-12-21,Active
INV00045,CUST00032,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,5181,5181,129525,133583.59,2025-12-21,Active
INV00046,CUST00032,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2025-12-21,Active
INV00047,CUST00032,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,118110,118110,109688.77,2025-12-21,Active
INV00048,CUST00033,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,27929,27929,782012,913423.05,2026-01-09,Active
INV00049,CUST00033,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,118137,118137,168981.43,2026-01-09,Active
INV00050,CUST00034,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,7696,7696,223184,247708.3,2025-07-23,Active
INV00051,CUST00034,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,1868,1868,54172,57518.23,2025-07-23,Active
INV00052,CUST00035,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,12377,12377,173278,172071.31,2024-01-18,Active
INV00053,CUST00035,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,3631,3631,101668,106323.64,2024-01-18,Active
INV00054,CUST00036,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,25647,25647,282117,334353.64,2024-11-18,Active
INV00055,CUST00036,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,146027,146027,150148.95,2024-11-18,Active
INV00056,CUST00036,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2024-11-18,Active
INV00057,CUST00036,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,101067,101067,88878.13,2024-11-18,Active
INV00058,CUST00037,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,1099135,1099135,1373093.85,2025-02-17,Active
INV00059,CUST00037,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2025-02-17,Active
INV00060,CUST00037,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,460662,460662,727045.74,2025-02-17,Active
INV00061,CUST00037,INV011,ETF - Nifty 50,ETF,HDFC Securities,ETF,Lumpsum,0,755596,755596,1102720.81,2025-02-17,Active
INV00062,CUST00037,INV013,Wealth Management Service,Wealth Management,HDFC Bank,Portfolio Management,Managed,0,16298527,16298527,18094681.2,2025-02-17,Active
INV00063,CUST00038,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,257410,257410,310340.23,2018-01-02,Active
INV00064,CUST00042,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,14500,16209.0,2016-03-14,Active
INV00065,CUST00042,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,634209,634209,664872.45,2016-03-14,Active
INV00066,CUST00042,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,35023,35023,560368,576786.75,2016-03-14,Active
INV00067,CUST00042,INV013,Wealth Management Service,Wealth Management,HDFC Bank,Portfolio Management,Managed,0,19182332,19182332,21178351.63,2016-03-14,Active
INV00068,CUST00042,INV014,Private Banking,Private Banking,HDFC Bank,Private Banking,Managed,0,56049642,56049642,66389784.06,2016-03-14,Active
INV00069,CUST00043,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,10929,10929,382515,405298.92,2016-12-28,Active
INV00070,CUST00044,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,900000,1089506.2,2025-11-25,Active
INV00071,CUST00044,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,40172,40172,42352.93,2025-11-25,Active
INV00072,CUST00044,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,4043,4043,137462,138917.55,2025-11-25,Active
INV00073,CUST00046,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,26523,26523,34695.8,2025-12-05,Active
INV00074,CUST00047,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,20516,20516,471868,634918.56,2025-11-09,Active
INV00075,CUST00047,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,199506,199506,286508.44,2025-11-09,Active
INV00076,CUST00047,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2025-11-09,Active
INV00077,CUST00047,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,63295,63295,109667.17,2025-11-09,Active
INV00078,CUST00049,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,77941,77941,90834.99,2024-06-01,Active
INV00079,CUST00049,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,1932,1932,15456,16003.59,2024-06-01,Active
INV00080,CUST00050,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,42086,42086,1473010,1973331.65,2021-06-24,Active
INV00081,CUST00050,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,233406,233406,263243.59,2021-06-24,Active
INV00082,CUST00050,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2021-06-24,Active
INV00083,CUST00050,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,34580,34580,58462.26,2021-06-24,Active
INV00084,CUST00051,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,22079,22079,220790,278454.47,2022-01-17,Active
INV00085,CUST00054,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,500000,645220.64,2021-12-15,Active
INV00086,CUST00055,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,20508,20508,266604,308581.07,2026-06-27,Active
INV00087,CUST00055,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,277577,277577,368104.54,2026-06-27,Active
INV00088,CUST00058,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,10524,10524,178908,240466.04,2024-11-13,Active
INV00089,CUST00058,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,134139,134139,130648.67,2024-11-13,Active
INV00090,CUST00059,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,1414,1414,33936,36652.05,2022-11-16,Active
INV00091,CUST00060,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,116885,116885,153479.55,2019-07-07,Active
INV00092,CUST00061,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,18292,18292,548760,680061.68,2018-06-14,Active
INV00093,CUST00061,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,45973,45973,49941.5,2018-06-14,Active
INV00094,CUST00061,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,3382,3382,33820,34265.78,2018-06-14,Active
INV00095,CUST00062,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,29442,29442,206094,274467.09,2025-04-06,Active
INV00096,CUST00062,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,107769,107769,139335.04,2025-04-06,Active
INV00097,CUST00063,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,333530,333530,423105.37,2021-01-24,Active
INV00098,CUST00063,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,3106,3106,96286,100649.04,2021-01-24,Active
INV00099,CUST00065,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,27170,27170,461890,460294.15,2024-10-31,Active
INV00100,CUST00066,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2026-03-04,Active
INV00101,CUST00066,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,32836,32836,27069.66,2026-03-04,Active
INV00102,CUST00067,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,21850,21850,742900,920249.38,2026-05-29,Active
INV00103,CUST00067,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,435760,435760,516448.82,2026-05-29,Active
INV00104,CUST00067,INV013,Wealth Management Service,Wealth Management,HDFC Bank,Portfolio Management,Managed,0,10860676,10860676,12032075.64,2026-05-29,Active
INV00105,CUST00068,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,35452,35452,177260,212190.86,2022-12-25,Active
INV00106,CUST00069,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,8000,8716.29,2025-04-07,Active
INV00107,CUST00069,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,8241,8241,10893.38,2025-04-07,Active
INV00108,CUST00070,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,6148,6148,86072,105391.28,2019-06-17,Active
INV00109,CUST00070,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,176221,176221,247701.87,2019-06-17,Active
INV00110,CUST00070,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,1843,1843,23959,24512.72,2019-06-17,Active
INV00111,CUST00071,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,32666,32666,293994,300781.07,2023-10-04,Active
INV00112,CUST00071,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,15282,15282,16132.29,2023-10-04,Active
INV00113,CUST00071,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,16279,16279,244185,270689.26,2023-10-04,Active
INV00114,CUST00071,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2023-10-04,Active
INV00115,CUST00071,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,13387,13387,14141.78,2023-10-04,Active
INV00116,CUST00072,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,5574,5574,144924,184773.07,2023-12-06,Active
INV00117,CUST00072,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,67113,67113,94315.79,2023-12-06,Active
INV00118,CUST00074,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,15500,20017.59,2022-10-04,Active
INV00119,CUST00075,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,20185,20185,666105,832110.61,2022-04-20,Active
INV00120,CUST00075,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,118834,118834,153936.19,2022-04-20,Active
INV00121,CUST00075,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2022-04-20,Active
INV00122,CUST00075,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,108500,108500,106728.33,2022-04-20,Active
INV00123,CUST00076,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,37699,37699,791679,778623.42,2015-12-03,Active
INV00124,CUST00076,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,190774,190774,224341.16,2015-12-03,Active
INV00125,CUST00076,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2015-12-03,Active
INV00126,CUST00076,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,53985,53985,61870.55,2015-12-03,Active
INV00127,CUST00077,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,5792,5792,167968,207142.34,2023-07-01,Active
INV00128,CUST00078,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,700000,890916.79,2026-02-03,Active
INV00129,CUST00078,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,496582,496582,603697.73,2026-02-03,Active
INV00130,CUST00078,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,7982,7982,95784,98635.91,2026-02-03,Active
INV00131,CUST00079,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,12667,12667,329342,427046.19,2019-08-02,Active
INV00132,CUST00079,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,138874,138874,186704.39,2019-08-02,Active
INV00133,CUST00079,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,4483,4483,134490,142831.7,2019-08-02,Active
INV00134,CUST00080,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,9290,9290,65030,79882.84,2026-02-08,Active
INV00135,CUST00081,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,1750000,2021353.08,2023-12-04,Active
INV00136,CUST00081,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,190797,190797,228869.47,2023-12-04,Active
INV00137,CUST00081,INV013,Wealth Management Service,Wealth Management,HDFC Bank,Portfolio Management,Managed,0,10880705,10880705,12669203.65,2023-12-04,Active
INV00138,CUST00082,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,6179,6179,129759,156333.51,2022-09-18,Active
INV00139,CUST00082,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,15411,15411,16303.49,2022-09-18,Active
INV00140,CUST00085,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,5646,5646,112920,127929.95,2022-04-30,Active
INV00141,CUST00086,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,16484,16484,593424,703047.42,2025-04-26,Active
INV00142,CUST00087,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,43608,43608,523296,684839.89,2022-05-29,Active
INV00143,CUST00090,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,11500,12231.03,2023-07-16,Active
INV00144,CUST00090,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,27353,27353,26055.36,2023-07-16,Active
INV00145,CUST00090,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,17573,17573,316314,333921.78,2023-07-16,Active
INV00146,CUST00090,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2023-07-16,Active
INV00147,CUST00090,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,304351,304351,339786.02,2023-07-16,Active
INV00148,CUST00091,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,7761,7761,170742,206317.78,2024-05-11,Active
INV00149,CUST00091,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2024-05-11,Active
INV00150,CUST00091,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,221926,221926,394571.42,2024-05-11,Active
INV00151,CUST00091,INV011,ETF - Nifty 50,ETF,HDFC Securities,ETF,Lumpsum,0,106165,106165,141261.01,2024-05-11,Active
INV00152,CUST00094,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,184987,184987,263339.96,2026-02-01,Active
INV00153,CUST00096,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2024-08-27,Active
INV00154,CUST00096,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,125840,125840,104165.5,2024-08-27,Active
INV00155,CUST00098,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,1250000,1294072.48,2023-09-06,Active
INV00156,CUST00098,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,11903,11903,11354.85,2023-09-06,Active
INV00157,CUST00098,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,1237,1237,28451,29457.92,2023-09-06,Active
INV00158,CUST00098,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2023-09-06,Active
INV00159,CUST00098,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,142846,142846,230348.44,2023-09-06,Active
INV00160,CUST00098,INV011,ETF - Nifty 50,ETF,HDFC Securities,ETF,Lumpsum,0,183750,183750,244365.81,2023-09-06,Active
INV00161,CUST00099,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,14000,14865.37,2024-07-19,Active
INV00162,CUST00099,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,165488,165488,186061.25,2024-07-19,Active
INV00163,CUST00100,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,6204,6204,80652,83012.59,2024-03-10,Active
INV00164,CUST00101,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,3500,4465.06,2026-07-05,Active
INV00165,CUST00102,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,26648,26648,239832,312964.45,2024-11-08,Active
INV00166,CUST00102,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2024-11-08,Active
INV00167,CUST00102,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,111788,111788,103472.83,2024-11-08,Active
INV00168,CUST00103,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,50000,50000,450000,531925.35,2021-03-05,Active
INV00169,CUST00104,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,30781,30781,923430,1029285.99,2025-09-05,Active
INV00170,CUST00105,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,9000,9864.16,2024-11-10,Active
INV00171,CUST00105,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,129655,129655,138849.36,2024-11-10,Active
INV00172,CUST00105,INV008,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,One-Time,0,0,0,0,2024-11-10,Active
INV00173,CUST00105,INV009,Equity Trading Account,Stock / Equity,HDFC Securities,Direct Equity,Lumpsum,0,371744,371744,282151.13,2024-11-10,Active
INV00174,CUST00105,INV011,ETF - Nifty 50,ETF,HDFC Securities,ETF,Lumpsum,0,38543,38543,40369.95,2024-11-10,Active
INV00175,CUST00106,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Lumpsum,Lumpsum,0,75912,75912,95954.81,2019-06-08,Active
INV00176,CUST00107,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,500,500,3500,4668.26,2026-05-14,Active
INV00177,CUST00107,INV007,NPS Tier I,NPS,HDFC Pension,NPS,Monthly,728,728,8736,9348.24,2026-05-14,Active
INV00178,CUST00108,INV005,HDFC Balanced SIP,SIP,HDFC Mutual Fund,SIP,Monthly,11412,11412,136944,137353.68,2024-07-23,Active
