account_id,customer_id,account_type,account_product_name,account_number_masked,account_status,opening_date,currency,average_monthly_balance,branch_id
ACC00039,CUST00035,Savings,Millennia Savings Account,XXXXXX3199,Active,2022-06-25,INR,155968.95,BR066
ACC00040,CUST00036,Salary,Savings Account,XXXXXX7202,Active,2024-10-22,INR,139102.85,BR031
ACC00041,CUST00037,Savings,Millennia Savings Account,XXXXXX6287,Active,2018-08-04,INR,1265132.28,BR034
ACC00042,CUST00038,Savings,Digital Savings Account,XXXXXX3960,Active,2023-12-11,INR,913267.81,BR008
ACC00043,CUST00038,Current,Premium Current Account,XXXXXX4399,Active,2024-12-21,INR,1075458.86,BR008
ACC00044,CUST00039,Savings,Regular Savings Account,XXXXXX3315,Active,2020-10-28,INR,62110.01,BR055
ACC00045,CUST00040,Savings,Millennia Savings Account,XXXXXX9801,Active,2024-03-18,INR,7484.13,BR030
ACC00046,CUST00041,Current,Premium Current Account,XXXXXX7359,Active,2020-08-24,INR,105249.4,BR038
ACC00047,CUST00041,Savings,Millennia Savings Account,XXXXXX8282,Active,2024-02-27,INR,137596.77,BR038
ACC00048,CUST00042,Current,Business Current Account,XXXXXX4932,Active,2015-10-10,INR,3285083.73,BR079
ACC00049,CUST00043,Savings,Digital Savings Account,XXXXXX2288,Active,2025-05-03,INR,67537.44,BR013
ACC00050,CUST00044,Salary,Salary Account,XXXXXX7743,Active,2022-09-05,INR,455129.88,BR007
ACC00051,CUST00045,Savings,Savings Max,XXXXXX9266,Active,2024-10-01,INR,40446.13,BR031
ACC00052,CUST00046,Current,Premium Current Account,XXXXXX1948,Active,2025-01-12,INR,171209.48,BR055
ACC00053,CUST00047,Savings,Savings Max,XXXXXX5836,Active,2023-10-19,INR,256752.58,BR028
ACC00054,CUST00047,Current,Regular Current Account,XXXXXX5845,Active,2026-01-18,INR,91013.83,BR028
ACC00055,CUST00048,Salary,Savings Account,XXXXXX3622,Active,2025-08-27,INR,50450.82,BR053
ACC00056,CUST00049,Savings,Digital Savings Account,XXXXXX3173,Active,2023-01-13,INR,27744.61,BR072
ACC00057,CUST00050,Savings,Regular Savings Account,XXXXXX3980,Active,2022-04-28,INR,340926.38,BR073
ACC00058,CUST00051,Savings,Savings Max,XXXXXX1859,Active,2020-06-22,INR,109004.32,BR008
ACC00059,CUST00052,Current,Business Current Account,XXXXXX3099,Active,2021-11-17,INR,46602.86,BR074
ACC00060,CUST00053,Salary,Savings Account,XXXXXX4040,Active,2026-07-09,INR,54612.04,BR066
ACC00061,CUST00054,Salary,Premium Salary Account,XXXXXX6332,Active,2023-03-21,INR,350557.89,BR057
ACC00062,CUST00055,Savings,Regular Savings Account,XXXXXX6750,Active,2025-05-26,INR,381141.12,BR025
ACC00063,CUST00056,Salary,Salary Account,XXXXXX3527,Active,2023-10-18,INR,36707.5,BR013
ACC00064,CUST00057,Savings,Savings Max,XXXXXX8438,Active,2018-09-12,INR,17890.23,BR012
ACC00065,CUST00058,Salary,Premium Salary Account,XXXXXX9519,Active,2023-09-09,INR,134506.33,BR021
ACC00066,CUST00059,Salary,Premium Salary Account,XXXXXX3047,Active,2024-04-25,INR,70282.07,BR068
ACC00067,CUST00060,Current,Business Current Account,XXXXXX5938,Active,2023-08-24,INR,435629.34,BR051
ACC00068,CUST00061,Salary,Premium Salary Account,XXXXXX7593,Active,2019-08-11,INR,128930.83,BR078
ACC00069,CUST00062,Savings,Millennia Savings Account,XXXXXX6833,Active,2025-01-20,INR,223315.38,BR011
ACC00070,CUST00063,Salary,Savings Account,XXXXXX5332,Active,2024-02-23,INR,406610.04,BR060
ACC00071,CUST00064,Salary,Premium Salary Account,XXXXXX2251,Active,2023-12-03,INR,35199.04,BR052
ACC00072,CUST00064,Savings,Regular Savings Account,XXXXXX9721,Active,2025-10-14,INR,142437.02,BR052
ACC00073,CUST00065,Salary,Salary Account,XXXXXX7469,Active,2026-01-01,INR,136278.26,BR057
ACC00074,CUST00066,Savings,Digital Savings Account,XXXXXX2875,Active,2026-04-07,INR,108721.28,BR005
ACC00075,CUST00067,Savings,Savings Max,XXXXXX4147,Active,2026-06-23,INR,1035938.69,BR016
ACC00076,CUST00068,Savings,Millennia Savings Account,XXXXXX5584,Active,2023-04-28,INR,26839.57,BR060
ACC00077,CUST00069,Salary,Salary Account,XXXXXX8744,Active,2021-10-31,INR,157767.19,BR016
ACC00078,CUST00070,Salary,Premium Salary Account,XXXXXX8193,Active,2023-01-08,INR,242710.37,BR073
ACC00079,CUST00071,Current,Regular Current Account,XXXXXX7534,Active,2026-01-05,INR,772922.55,BR041
ACC00080,CUST00072,Savings,Digital Savings Account,XXXXXX7794,Active,2022-05-14,INR,47115.35,BR060
ACC00081,CUST00073,Salary,Salary Account,XXXXXX1059,Active,2025-10-18,INR,64463.78,BR025
ACC00082,CUST00074,Current,Business Current Account,XXXXXX3322,Active,2024-06-29,INR,1391737.04,BR066
ACC00083,CUST00075,Salary,Savings Account,XXXXXX6075,Active,2025-10-14,INR,51656.12,BR077
ACC00084,CUST00076,Savings,Regular Savings Account,XXXXXX1768,Active,2024-09-18,INR,84019.45,BR008
ACC00085,CUST00077,Savings,Savings Max,XXXXXX2862,Active,2025-03-12,INR,27189.4,BR027
ACC00086,CUST00078,Savings,Regular Savings Account,XXXXXX1260,Active,2025-12-27,INR,156987.21,BR035
ACC00087,CUST00079,Savings,Millennia Savings Account,XXXXXX4770,Active,2020-06-19,INR,35539.81,BR008
ACC00088,CUST00080,Salary,Premium Salary Account,XXXXXX2986,Active,2026-01-02,INR,223534.77,BR065
ACC00089,CUST00081,Current,Business Current Account,XXXXXX4535,Active,2022-12-30,INR,529425.3,BR034
ACC00090,CUST00082,Current,Premium Current Account,XXXXXX3528,Active,2026-01-09,INR,38184.17,BR029
ACC00091,CUST00083,Savings,Digital Savings Account,XXXXXX5975,Active,2025-12-01,INR,37103.97,BR042
ACC00092,CUST00084,Savings,Millennia Savings Account,XXXXXX3635,Active,2021-05-03,INR,65576.11,BR070
ACC00093,CUST00085,Savings,Millennia Savings Account,XXXXXX9526,Active,2026-04-15,INR,66959.99,BR003
ACC00094,CUST00086,Savings,Digital Savings Account,XXXXXX8399,Active,2025-11-19,INR,185606.33,BR007
ACC00095,CUST00087,Salary,Salary Account,XXXXXX2800,Active,2022-12-22,INR,351817.57,BR023
ACC00096,CUST00088,Savings,Digital Savings Account,XXXXXX4792,Active,2017-08-20,INR,15484.05,BR018
ACC00097,CUST00089,Savings,Millennia Savings Account,XXXXXX3050,Active,2022-04-11,INR,11430.45,BR028
ACC00098,CUST00090,Current,Premium Current Account,XXXXXX7627,Active,2023-06-20,INR,145902.62,BR029
ACC00099,CUST00091,Current,Business Current Account,XXXXXX2210,Active,2025-04-19,INR,145336.75,BR070
ACC00100,CUST00092,Salary,Salary Account,XXXXXX9618,Active,2025-06-19,INR,47295.1,BR003
ACC00101,CUST00093,Salary,Salary Account,XXXXXX3052,Active,2026-03-24,INR,35148.59,BR049
ACC00102,CUST00094,Savings,Regular Savings Account,XXXXXX3844,Active,2025-12-16,INR,37219.97,BR005
ACC00103,CUST00095,Savings,Savings Max,XXXXXX9688,Active,2020-10-11,INR,38145.01,BR044
ACC00104,CUST00096,Savings,Savings Max,XXXXXX3292,Active,2021-11-08,INR,274384.7,BR050
ACC00105,CUST00097,Salary,Premium Salary Account,XXXXXX7501,Active,2022-03-22,INR,75960.78,BR032
ACC00106,CUST00098,Savings,Millennia Savings Account,XXXXXX7438,Active,2021-05-20,INR,951663.23,BR080
ACC00107,CUST00099,Salary,Salary Account,XXXXXX1210,Active,2020-08-06,INR,244611.22,BR024
ACC00108,CUST00100,Salary,Premium Salary Account,XXXXXX1058,Active,2025-12-27,INR,13419.23,BR005
ACC00109,CUST00101,Current,Premium Current Account,XXXXXX1765,Active,2023-05-14,INR,143646.48,BR048
ACC00110,CUST00102,Salary,Premium Salary Account,XXXXXX2446,Active,2024-06-19,INR,167426.43,BR003
ACC00111,CUST00102,Savings,Savings Max,XXXXXX8359,Active,2026-02-15,INR,348965.0,BR003
ACC00112,CUST00103,Current,Business Current Account,XXXXXX2914,Active,2023-12-03,INR,678278.93,BR009
ACC00113,CUST00104,Current,Business Current Account,XXXXXX5139,Active,2023-12-02,INR,316051.06,BR018
ACC00114,CUST00105,Savings,Savings Max,XXXXXX1042,Active,2024-01-02,INR,636271.91,BR063
ACC00115,CUST00106,Savings,Millennia Savings Account,XXXXXX2765,Active,2019-07-10,INR,123006.94,BR047
ACC00116,CUST00107,Salary,Premium Salary Account,XXXXXX9829,Active,2026-01-24,INR,101160.7,BR079
ACC00117,CUST00108,Savings,Regular Savings Account,XXXXXX7191,Active,2025-07-28,INR,186766.31,BR017
ACC00118,CUST00109,Savings,Millennia Savings Account,XXXXXX5211,Active,2022-06-29,INR,256256.78,BR046
ACC00119,CUST00110,Savings,Digital Savings Account,XXXXXX8638,Active,2025-01-17,INR,23254.17,BR057
ACC00120,CUST00111,Savings,Savings Max,XXXXXX7111,Active,2023-10-21,INR,33249.64,BR010
ACC00121,CUST00112,Current,Premium Current Account,XXXXXX4762,Active,2021-04-23,INR,221204.09,BR045
ACC00122,CUST00113,Current,Premium Current Account,XXXXXX7942,Active,2021-11-18,INR,316265.37,BR039
ACC00123,CUST00114,Current,Regular Current Account,XXXXXX7951,Active,2023-09-24,INR,235981.38,BR003
ACC00124,CUST00115,Savings,Savings Max,XXXXXX5618,Active,2020-05-18,INR,5986.94,BR009
ACC00125,CUST00116,Salary,Premium Salary Account,XXXXXX9494,Active,2023-04-16,INR,248163.52,BR035
ACC00126,CUST00117,Savings,Regular Savings Account,XXXXXX7587,Active,2024-08-08,INR,267029.89,BR001
ACC00127,CUST00117,Current,Regular Current Account,XXXXXX4932,Active,2024-10-10,INR,907508.31,BR001
ACC00128,CUST00118,Savings,Regular Savings Account,XXXXXX9556,Active,2021-07-21,INR,16254.81,BR052
ACC00129,CUST00119,Savings,Savings Max,XXXXXX8541,Active,2026-04-06,INR,54600.47,BR002
ACC00130,CUST00120,Salary,Premium Salary Account,XXXXXX8869,Active,2026-07-19,INR,110660.55,BR010
ACC00131,CUST00121,Savings,Millennia Savings Account,XXXXXX8540,Active,2023-04-12,INR,363456.05,BR058
ACC00132,CUST00121,Current,Business Current Account,XXXXXX6624,Active,2025-05-29,INR,854115.85,BR058
ACC00133,CUST00122,Current,Regular Current Account,XXXXXX1346,Active,2025-04-14,INR,181789.68,BR072
ACC00134,CUST00122,Savings,Millennia Savings Account,XXXXXX9044,Active,2025-07-07,INR,368928.66,BR072
ACC00135,CUST00123,Salary,Premium Salary Account,XXXXXX4350,Active,2022-10-04,INR,75537.84,BR043
ACC00136,CUST00124,Salary,Salary Account,XXXXXX3520,Active,2026-04-26,INR,96042.12,BR012
ACC00137,CUST00125,Salary,Salary Account,XXXXXX1591,Active,2026-01-27,INR,55716.46,BR075
ACC00138,CUST00126,Savings,Regular Savings Account,XXXXXX4374,Active,2024-04-03,INR,125018.14,BR073
ACC00139,CUST00127,Savings,Regular Savings Account,XXXXXX7211,Active,2023-01-04,INR,84351.33,BR019
ACC00140,CUST00128,Current,Premium Current Account,XXXXXX4157,Active,2026-04-01,INR,884927.44,BR038
ACC00141,CUST00129,Salary,Premium Salary Account,XXXXXX7558,Active,2019-09-14,INR,35941.39,BR032
ACC00142,CUST00130,Current,Regular Current Account,XXXXXX5043,Active,2023-05-28,INR,247303.16,BR014
ACC00143,CUST00131,Salary,Savings Account,XXXXXX1906,Active,2022-06-08,INR,50930.27,BR031
ACC00144,CUST00132,Savings,Millennia Savings Account,XXXXXX6795,Active,2025-01-13,INR,58971.25,BR024
ACC00145,CUST00133,Savings,Savings Max,XXXXXX5562,Active,2025-03-12,INR,20888.91,BR031
ACC00146,CUST00134,Savings,Savings Max,XXXXXX4494,Active,2026-07-12,INR,24103.53,BR041
ACC00147,CUST00135,Savings,Regular Savings Account,XXXXXX8679,Active,2024-12-05,INR,32871.81,BR053
ACC00148,CUST00136,Current,Business Current Account,XXXXXX4487,Active,2025-05-05,INR,440253.5,BR018
ACC00149,CUST00137,Current,Regular Current Account,XXXXXX6914,Active,2026-04-07,INR,164340.16,BR026
ACC00150,CUST00138,Current,Business Current Account,XXXXXX3182,Active,2024-11-07,INR,316400.17,BR004
ACC00151,CUST00139,Savings,Millennia Savings Account,XXXXXX4589,Active,2025-06-01,INR,379809.59,BR033
ACC00152,CUST00140,Savings,Regular Savings Account,XXXXXX5846,Active,2025-06-01,INR,136017.22,BR077
ACC00153,CUST00141,Savings,Regular Savings Account,XXXXXX1489,Active,2026-01-22,INR,189047.7,BR038
ACC00154,CUST00141,Current,Regular Current Account,XXXXXX7490,Active,2026-05-13,INR,215138.66,BR038
ACC00155,CUST00142,Current,Business Current Account,XXXXXX4558,Active,2019-02-04,INR,1641503.23,BR065
ACC00156,CUST00142,Savings,Savings Max,XXXXXX2491,Active,2019-04-09,INR,3348770.32,BR065
ACC00157,CUST00143,Current,Premium Current Account,XXXXXX8684,Active,2025-04-04,INR,109119.21,BR022
ACC00158,CUST00144,Savings,Millennia Savings Account,XXXXXX9843,Active,2021-06-29,INR,188561.97,BR040
ACC00159,CUST00145,Savings,Millennia Savings Account,XXXXXX2342,Active,2025-04-28,INR,32518.5,BR017
ACC00160,CUST00146,Current,Premium Current Account,XXXXXX5836,Active,2025-04-29,INR,514841.23,BR002
ACC00161,CUST00147,Current,Business Current Account,XXXXXX7313,Active,2022-02-17,INR,981423.71,BR062
ACC00162,CUST00147,Savings,Millennia Savings Account,XXXXXX5176,Active,2025-02-28,INR,348048.21,BR062
ACC00163,CUST00148,Savings,Regular Savings Account,XXXXXX7339,Active,2026-01-07,INR,86997.49,BR041
ACC00164,CUST00149,Savings,Regular Savings Account,XXXXXX5475,Active,2024-03-12,INR,298465.04,BR022
ACC00165,CUST00150,Salary,Savings Account,XXXXXX1234,Active,2025-07-27,INR,89741.13,BR068
ACC00166,CUST00151,Salary,Premium Salary Account,XXXXXX6061,Active,2025-01-08,INR,84453.84,BR043
ACC00167,CUST00152,Savings,Savings Max,XXXXXX8628,Active,2026-03-07,INR,470537.36,BR066
ACC00168,CUST00153,Current,Premium Current Account,XXXXXX5088,Active,2021-11-13,INR,157911.28,BR048
ACC00169,CUST00154,Savings,Millennia Savings Account,XXXXXX4354,Active,2025-11-13,INR,29129.44,BR076
ACC00170,CUST00155,Savings,Savings Max,XXXXXX4707,Active,2025-10-29,INR,9196.42,BR058
ACC00171,CUST00156,Savings,Savings Max,XXXXXX3514,Active,2023-05-07,INR,10163.36,BR054
ACC00172,CUST00157,Salary,Salary Account,XXXXXX9607,Active,2024-01-26,INR,92008.89,BR072
ACC00173,CUST00158,Current,Premium Current Account,XXXXXX1181,Active,2026-01-06,INR,90152.85,BR048
ACC00174,CUST00159,Savings,Millennia Savings Account,XXXXXX9667,Active,2018-04-14,INR,40721.04,BR079
ACC00175,CUST00160,Salary,Premium Salary Account,XXXXXX7453,Active,2022-02-08,INR,152019.72,BR002
ACC00176,CUST00161,Current,Regular Current Account,XXXXXX5114,Active,2020-05-26,INR,402143.96,BR069
ACC00177,CUST00162,Savings,Digital Savings Account,XXXXXX8273,Active,2024-04-12,INR,254985.09,BR030
ACC00178,CUST00163,Salary,Premium Salary Account,XXXXXX9129,Active,2025-01-04,INR,97354.46,BR051
ACC00179,CUST00164,Current,Regular Current Account,XXXXXX2980,Active,2026-02-01,INR,1324879.68,BR027
ACC00180,CUST00164,Savings,Millennia Savings Account,XXXXXX5963,Active,2026-08-09,INR,1664912.86,BR027
ACC00181,CUST00165,Savings,Digital Savings Account,XXXXXX9482,Active,2024-11-16,INR,222964.54,BR046
ACC00182,CUST00166,Salary,Savings Account,XXXXXX9274,Active,2025-04-11,INR,39219.86,BR047
ACC00183,CUST00167,Salary,Premium Salary Account,XXXXXX6168,Active,2024-07-21,INR,99092.24,BR075
ACC00184,CUST00168,Savings,Regular Savings Account,XXXXXX7299,Active,2026-01-02,INR,68026.41,BR021
ACC00185,CUST00169,Savings,Digital Savings Account,XXXXXX6364,Active,2024-07-02,INR,100473.57,BR034
ACC00186,CUST00170,Salary,Premium Salary Account,XXXXXX6547,Active,2024-06-14,INR,63609.67,BR078
ACC00187,CUST00171,Savings,Savings Max,XXXXXX9328,Active,2023-09-27,INR,2712214.49,BR003
ACC00188,CUST00172,Savings,Millennia Savings Account,XXXXXX3537,Active,2025-01-16,INR,101057.98,BR067
ACC00189,CUST00173,Savings,Digital Savings Account,XXXXXX2454,Active,2025-09-04,INR,21645.37,BR062
ACC00190,CUST00174,Salary,Savings Account,XXXXXX1400,Active,2026-05-31,INR,47081.31,BR034
ACC00191,CUST00175,Salary,Premium Salary Account,XXXXXX7753,Active,2024-03-08,INR,29535.79,BR021
ACC00192,CUST00176,Current,Regular Current Account,XXXXXX3500,Active,2023-07-12,INR,51721.88,BR077
ACC00193,CUST00177,Savings,Savings Max,XXXXXX9038,Active,2024-04-28,INR,20743.89,BR009
ACC00194,CUST00178,Current,Business Current Account,XXXXXX9231,Active,2026-03-21,INR,785525.14,BR073
ACC00195,CUST00179,Current,Business Current Account,XXXXXX4355,Active,2026-05-13,INR,32537.81,BR010
ACC00196,CUST00180,Savings,Digital Savings Account,XXXXXX5841,Active,2026-01-27,INR,905500.01,BR070
ACC00197,CUST00181,Current,Premium Current Account,XXXXXX6145,Active,2018-02-18,INR,5000,BR002
ACC00198,CUST00182,Current,Premium Current Account,XXXXXX8432,Active,2019-11-15,INR,212663.52,BR013
ACC00199,CUST00183,Current,Premium Current Account,XXXXXX1565,Active,2016-10-12,INR,209848.15,BR013
ACC00200,CUST00184,Savings,Regular Savings Account,XXXXXX4878,Active,2025-05-21,INR,8980.92,BR060
ACC00201,CUST00185,Current,Business Current Account,XXXXXX6473,Active,2019-12-10,INR,142875.82,BR031
ACC00202,CUST00186,Savings,Regular Savings Account,XXXXXX1802,Active,2024-01-08,INR,33138.79,BR022
ACC00203,CUST00187,Savings,Regular Savings Account,XXXXXX7573,Active,2023-04-20,INR,85194.99,BR057
ACC00204,CUST00188,Salary,Savings Account,XXXXXX6028,Active,2026-01-31,INR,159356.05,BR021
ACC00205,CUST00189,Salary,Premium Salary Account,XXXXXX4780,Active,2022-04-28,INR,118946.49,BR025
ACC00206,CUST00190,Savings,Savings Max,XXXXXX7667,Active,2019-08-22,INR,310185.63,BR035
ACC00207,CUST00191,Current,Regular Current Account,XXXXXX9183,Active,2024-03-06,INR,17163.15,BR040
ACC00208,CUST00192,Salary,Salary Account,XXXXXX5834,Active,2026-06-10,INR,83247.17,BR077
ACC00209,CUST00193,Salary,Salary Account,XXXXXX4228,Active,2024-05-30,INR,61549.13,BR033
ACC00210,CUST00194,Savings,Regular Savings Account,XXXXXX1703,Active,2023-02-19,INR,37197.21,BR024
ACC00211,CUST00195,Savings,Savings Max,XXXXXX1416,Active,2021-11-07,INR,354568.81,BR026
ACC00212,CUST00196,Savings,Millennia Savings Account,XXXXXX7989,Active,2026-04-30,INR,45822.99,BR079
ACC00213,CUST00197,Savings,Millennia Savings Account,XXXXXX8568,Active,2018-09-30,INR,5000,BR014
ACC00214,CUST00198,Savings,Savings Max,XXXXXX7247,Active,2025-11-27,INR,85134.87,BR058
ACC00215,CUST00199,Savings,Regular Savings Account,XXXXXX1100,Active,2026-05-11,INR,27889.75,BR032
ACC00216,CUST00200,Current,Premium Current Account,XXXXXX4213,Active,2026-01-05,INR,71523.13,BR056
ACC00217,CUST00201,Savings,Millennia Savings Account,XXXXXX1647,Active,2026-03-15,INR,62944.28,BR017
ACC00218,CUST00202,Savings,Millennia Savings Account,XXXXXX1882,Active,2022-03-06,INR,380503.17,BR012
ACC00219,CUST00203,Savings,Savings Max,XXXXXX2711,Active,2024-11-11,INR,156320.9,BR019
ACC00220,CUST00204,Savings,Savings Max,XXXXXX1501,Active,2024-12-26,INR,32204.16,BR026
ACC00221,CUST00205,Salary,Premium Salary Account,XXXXXX7889,Active,2020-04-28,INR,224172.14,BR059
ACC00222,CUST00206,Salary,Savings Account,XXXXXX2734,Active,2025-10-31,INR,9345.68,BR049
ACC00223,CUST00207,Salary,Premium Salary Account,XXXXXX5925,Active,2018-09-24,INR,94818.45,BR073
ACC00224,CUST00208,Savings,Regular Savings Account,XXXXXX4728,Active,2022-07-26,INR,78235.42,BR078
ACC00225,CUST00209,Savings,Digital Savings Account,XXXXXX7088,Active,2024-10-16,INR,44703.48,BR027
ACC00226,CUST00210,Salary,Savings Account,XXXXXX1442,Active,2026-07-04,INR,262432.36,BR059
ACC00227,CUST00211,Salary,Premium Salary Account,XXXXXX5418,Active,2025-01-31,INR,114382.33,BR024
ACC00228,CUST00212,Savings,Millennia Savings Account,XXXXXX1799,Active,2025-09-08,INR,265546.53,BR050
ACC00229,CUST00213,Current,Business Current Account,XXXXXX2706,Active,2024-04-24,INR,709591.22,BR033
ACC00230,CUST00214,Savings,Savings Max,XXXXXX8563,Active,2021-03-23,INR,134370.93,BR005
ACC00231,CUST00215,Savings,Savings Max,XXXXXX6647,Active,2024-01-19,INR,270474.28,BR071
ACC00232,CUST00215,Current,Regular Current Account,XXXXXX3260,Active,2025-02-10,INR,65123.26,BR071
ACC00233,CUST00216,Savings,Regular Savings Account,XXXXXX3831,Active,2023-07-06,INR,55720.27,BR017
ACC00234,CUST00217,Savings,Savings Max,XXXXXX9408,Active,2015-10-22,INR,11599.2,BR037
ACC00235,CUST00218,Salary,Premium Salary Account,XXXXXX3045,Active,2024-08-15,INR,268260.43,BR043
ACC00236,CUST00219,Current,Regular Current Account,XXXXXX5044,Active,2026-07-11,INR,374770.34,BR040
ACC00237,CUST00220,Salary,Salary Account,XXXXXX1013,Active,2023-06-21,INR,141629.95,BR068
ACC00238,CUST00221,Current,Regular Current Account,XXXXXX1514,Active,2018-04-08,INR,818050.74,BR025
ACC00239,CUST00222,Savings,Digital Savings Account,XXXXXX1234,Active,2022-06-18,INR,484165.72,BR017
ACC00240,CUST00223,Salary,Premium Salary Account,XXXXXX6959,Active,2022-12-12,INR,73803.75,BR060
ACC00241,CUST00223,Savings,Millennia Savings Account,XXXXXX9670,Active,2023-09-13,INR,524707.32,BR060
ACC00242,CUST00224,Savings,Digital Savings Account,XXXXXX5743,Active,2023-07-24,INR,5000,BR078
ACC00243,CUST00225,Current,Regular Current Account,XXXXXX6719,Active,2025-01-14,INR,209934.17,BR023
ACC00244,CUST00226,Current,Premium Current Account,XXXXXX3602,Active,2026-06-29,INR,390801.89,BR001
ACC00245,CUST00226,Savings,Savings Max,XXXXXX3034,Active,2026-08-17,INR,798362.68,BR001
ACC00246,CUST00227,Savings,Savings Max,XXXXXX8628,Active,2024-04-13,INR,19166.28,BR008
ACC00247,CUST00228,Savings,Regular Savings Account,XXXXXX6664,Active,2020-02-15,INR,24454.61,BR018
ACC00248,CUST00229,Salary,Savings Account,XXXXXX2833,Active,2022-03-25,INR,22951.03,BR070
ACC00249,CUST00230,Salary,Salary Account,XXXXXX5112,Active,2025-09-25,INR,201984.59,BR075
ACC00250,CUST00231,Salary,Salary Account,XXXXXX7202,Active,2026-03-23,INR,104947.66,BR080
ACC00251,CUST00232,Savings,Digital Savings Account,XXXXXX7033,Active,2021-09-04,INR,17894.44,BR005
ACC00252,CUST00233,Savings,Savings Max,XXXXXX7050,Active,2025-08-31,INR,816696.82,BR034
ACC00253,CUST00233,Current,Premium Current Account,XXXXXX6007,Active,2026-06-17,INR,2783148.24,BR034
