customer_loan_id,customer_id,loan_product_id,loan_product_name,loan_category,loan_account_number_masked,loan_status,sanctioned_amount,disbursed_amount,outstanding_principal,interest_rate,tenure_months,remaining_tenure_months,emi_amount,start_date,next_emi_date,repayment_status
CL00041,CUST00041,LN001,Personal Loan,Personal,XXXXXX2037,Active,490000,470223.5,259632.54,10.5,227,114,3608.32,2024-01-07,2026-09-05,Regular
CL00042,CUST00042,LN010,Loan Against Property,Property,XXXXXX3181,Active,1870000,1677395.09,1315990.16,10.5,148,54,30683.88,2020-07-15,2026-09-09,Regular
CL00043,CUST00043,LN013,Commercial Vehicle Finance,Commercial,XXXXXX7895,Active,110000,109783.56,89326.32,10.5,113,55,2053.1,2020-06-24,2026-09-05,Regular
CL00045,CUST00045,LN008,Business Loan,Business,XXXXXX9450,Active,8920000,8482909.81,2790620.14,10.5,125,108,40047.8,2024-09-19,2026-08-31,Regular
CL00046,CUST00046,LN003,New Car Loan,Auto,XXXXXX6345,Active,1620000,1602028.19,826845.15,10.5,152,100,12440.74,2025-11-19,2026-09-02,Regular
CL00047,CUST00047,LN011,Loan Against Securities,Investment,XXXXXX8096,Active,1490000,1293884.93,1058726.99,10.5,144,27,44196.77,2021-03-30,2026-09-11,Regular
CL00051,CUST00051,LN010,Loan Against Property,Property,XXXXXX7858,Active,2910000,2715147.23,2070132.62,10.5,152,72,38874.96,2025-08-20,2026-09-09,Regular
CL00052,CUST00052,LN009,Working Capital Finance,Business,XXXXXX5965,Active,5010000,4932619.07,1534676.34,10.5,158,107,22147.97,2026-04-20,2026-08-27,Regular
CL00054,CUST00054,LN013,Commercial Vehicle Finance,Commercial,XXXXXX3967,Active,1600000,1481755.57,1133514.24,10.5,167,118,15442.22,2026-05-17,2026-08-22,Regular
CL00058,CUST00058,LN001,Personal Loan,Personal,XXXXXX3709,Active,760000,703634.7,392704.8,10.5,138,117,5376.14,2024-01-15,2026-09-12,Regular
CL00061,CUST00061,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX4695,Active,60000,57693.03,23752.1,10.5,205,112,1000,2025-04-11,2026-09-10,Regular
CL00063,CUST00063,LN010,Loan Against Property,Property,XXXXXX5748,Active,1760000,1681032.86,571423.74,10.5,131,19,32775.24,2025-07-10,2026-09-09,Regular
CL00066,CUST00066,LN010,Loan Against Property,Property,XXXXXX9430,Active,9420000,9253314.39,5014780.85,10.5,109,15,358196.62,2023-09-18,2026-08-27,Regular
CL00067,CUST00067,LN003,New Car Loan,Auto,XXXXXX2577,Active,750000,739800.66,500402.87,10.5,117,83,8506.12,2024-02-28,2026-09-03,Regular
CL00069,CUST00069,LN004,Used Car Loan,Auto,XXXXXX9482,Active,720000,650137.79,336334.95,10.5,44,31,12434.53,2025-10-10,2026-09-11,Regular
CL00070,CUST00070,LN004,Used Car Loan,Auto,XXXXXX6792,Active,1020000,878632.41,713684.93,10.5,85,46,18913.03,2025-05-07,2026-09-16,Regular
CL00071,CUST00071,LN009,Working Capital Finance,Business,XXXXXX8384,Active,7530000,7191954.91,3630285.2,10.5,76,41,105756.36,2025-01-10,2026-09-06,Regular
CL00074,CUST00074,LN003,New Car Loan,Auto,XXXXXX5622,Active,940000,805998.12,478951.42,10.5,65,19,27471.29,2023-11-29,2026-08-23,Regular
CL00076,CUST00076,LN008,Business Loan,Business,XXXXXX5638,Active,9290000,8848572.9,6381181.55,10.5,137,84,107591.02,2026-01-21,2026-09-01,Regular
CL00078,CUST00078,LN012,Loan Against Mutual Funds,Investment,XXXXXX2285,Active,500000,469642.34,218485.27,10.5,165,54,5094.24,2026-07-19,2026-08-20,Regular
CL00079,CUST00079,LN004,Used Car Loan,Auto,XXXXXX5713,Active,660000,572124.8,188798.84,10.5,130,117,2584.66,2021-08-07,2026-08-29,Regular
CL00081,CUST00081,LN010,Loan Against Property,Property,XXXXXX8763,Active,8860000,8477273.42,4286767.88,10.5,97,68,83911.72,2024-10-23,2026-08-24,Regular
CL00082,CUST00082,LN007,Gold Loan,Gold,XXXXXX3024,Active,1410000,1390364.86,1026183.01,10.5,122,99,15537.82,2026-02-03,2026-08-22,Regular
CL00085,CUST00085,LN012,Loan Against Mutual Funds,Investment,XXXXXX1598,Active,510000,496393.6,405014.05,10.5,102,32,14566.14,2025-01-21,2026-08-31,Regular
CL00087,CUST00087,LN013,Commercial Vehicle Finance,Commercial,XXXXXX7208,Active,390000,366498.16,248130.17,10.5,157,104,3643.59,2024-11-22,2026-09-03,Regular
CL00089,CUST00089,LN009,Working Capital Finance,Business,XXXXXX8438,Active,1390000,1369897.53,814086.67,10.5,143,66,16289.61,2023-04-03,2026-09-16,Regular
CL00090,CUST00090,LN010,Loan Against Property,Property,XXXXXX4898,Active,8030000,7422869.7,6283251.85,10.5,151,55,144416.17,2026-02-28,2026-09-02,Regular
CL00091,CUST00091,LN007,Gold Loan,Gold,XXXXXX2995,Active,170000,168431.89,111355.89,10.5,184,82,1908.63,2022-12-22,2026-08-22,Regular
CL00093,CUST00093,LN007,Gold Loan,Gold,XXXXXX2978,Active,500000,482317.09,302025.46,10.5,61,14,23015.71,2022-10-06,2026-08-23,Regular
CL00094,CUST00094,LN014,Construction Equipment Finance,Commercial,XXXXXX6966,Active,2090000,1932470.9,749543.19,10.5,60,12,66071.19,2019-10-18,2026-08-25,Regular
CL00097,CUST00097,LN009,Working Capital Finance,Business,XXXXXX9513,Active,860000,768605.67,257192.54,10.5,206,112,3611.76,2021-08-09,2026-08-29,Regular
CL00098,CUST00098,LN014,Construction Equipment Finance,Commercial,XXXXXX5748,Active,1250000,1245425.19,600549.45,10.5,174,66,12016.8,2025-10-08,2026-09-06,Regular
CL00099,CUST00099,LN006,Education Loan,Education,XXXXXX2435,Active,250000,223174.39,110079.71,10.5,156,117,1506.99,2024-06-20,2026-09-11,Regular
CL00100,CUST00100,LN010,Loan Against Property,Property,XXXXXX5252,Active,3010000,2727000.8,1917426.52,10.5,146,114,26648.01,2023-05-01,2026-09-06,Regular
CL00103,CUST00103,LN002,Home Loan,Home,XXXXXX6356,Active,2890000,2816440.46,1616564.16,10.5,164,133,20616.37,2021-04-09,2026-08-28,Regular
CL00104,CUST00104,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX5995,Active,170000,161026.11,100785.02,10.5,143,117,1379.75,2019-09-26,2026-08-29,Regular
CL00105,CUST00105,LN007,Gold Loan,Gold,XXXXXX4287,Active,1340000,1310407.7,1046700.87,10.5,130,72,19655.96,2025-11-29,2026-09-02,Regular
CL00106,CUST00106,LN010,Loan Against Property,Property,XXXXXX2478,Active,4980000,4812011.55,2833760.28,10.5,161,119,38419.59,2024-07-26,2026-09-07,Regular
CL00108,CUST00108,LN013,Commercial Vehicle Finance,Commercial,XXXXXX4747,Active,2490000,2200345.94,1807496.33,10.5,100,77,32361.88,2026-06-21,2026-09-02,Regular
CL00109,CUST00109,LN002,Home Loan,Home,XXXXXX6557,Active,11390000,9751762.04,3887585.99,10.5,233,162,44984.36,2022-10-15,2026-08-23,Regular
CL00113,CUST00113,LN003,New Car Loan,Auto,XXXXXX1321,Active,460000,441975.9,240831.02,10.5,135,66,4818.95,2025-04-11,2026-09-06,Regular
CL00114,CUST00114,LN011,Loan Against Securities,Investment,XXXXXX7829,Active,2060000,1791528.0,826551.4,10.5,173,55,18997.71,2026-06-10,2026-09-09,Regular
CL00115,CUST00115,LN010,Loan Against Property,Property,XXXXXX6482,Active,9360000,8984502.86,3186011.01,10.5,168,52,76524.75,2026-04-04,2026-08-23,Regular
CL00116,CUST00116,LN009,Working Capital Finance,Business,XXXXXX9860,Active,7040000,6749704.21,4772234.74,10.5,120,72,89617.65,2022-09-02,2026-08-25,Regular
CL00121,CUST00121,LN014,Construction Equipment Finance,Commercial,XXXXXX6862,Active,1960000,1668752.81,1182694.25,10.5,129,93,18638.17,2025-08-14,2026-08-21,Regular
CL00122,CUST00122,LN003,New Car Loan,Auto,XXXXXX1415,Active,1120000,984694.17,339714.46,10.5,215,109,4848.28,2026-03-17,2026-08-26,Delayed
CL00123,CUST00123,LN013,Commercial Vehicle Finance,Commercial,XXXXXX2682,Active,210000,192803.42,92643.3,10.5,32,19,5313.76,2021-10-31,2026-09-07,Regular
CL00125,CUST00125,LN004,Used Car Loan,Auto,XXXXXX2071,Active,2510000,2501378.85,2123000.78,10.5,88,61,45062.28,2026-02-27,2026-08-23,Regular
CL00126,CUST00126,LN001,Personal Loan,Personal,XXXXXX7700,Active,2250000,2122129.96,1133973.49,10.5,120,61,24069.44,2025-03-16,2026-09-13,Regular
CL00127,CUST00127,LN002,Home Loan,Home,XXXXXX7867,Active,14380000,12243882.25,9130517.2,10.5,159,93,143888.53,2025-12-07,2026-09-09,Regular
CL00128,CUST00128,LN001,Personal Loan,Personal,XXXXXX5044,Active,700000,641801.82,483610.79,10.5,188,109,6901.91,2025-10-13,2026-08-29,Regular
CL00129,CUST00129,LN012,Loan Against Mutual Funds,Investment,XXXXXX4969,Active,2050000,1891563.47,638460.26,10.5,193,90,10279.59,2025-02-24,2026-09-02,Regular
CL00130,CUST00130,LN014,Construction Equipment Finance,Commercial,XXXXXX1245,Active,610000,539765.34,193363.87,10.5,91,28,7816.35,2025-09-20,2026-09-08,Regular
CL00135,CUST00135,LN014,Construction Equipment Finance,Commercial,XXXXXX8036,Active,1210000,1197681.3,671033.86,10.5,138,83,11406.6,2022-11-14,2026-08-30,Regular
CL00137,CUST00137,LN007,Gold Loan,Gold,XXXXXX7025,Active,1290000,1277850.26,906685.57,10.5,107,79,15945.38,2022-08-27,2026-09-15,Regular
CL00141,CUST00141,LN004,Used Car Loan,Auto,XXXXXX4338,Active,570000,542342.94,443153.64,10.5,95,74,8160.41,2022-10-17,2026-09-08,Regular
CL00142,CUST00142,LN010,Loan Against Property,Property,XXXXXX7064,Active,3390000,3074120.14,2165663.25,10.5,200,98,33002.04,2021-11-10,2026-09-12,Regular
CL00144,CUST00144,LN008,Business Loan,Business,XXXXXX5354,Active,770000,673016.09,275563.45,10.5,118,91,4404.64,2026-01-22,2026-09-01,Regular
CL00145,CUST00145,LN001,Personal Loan,Personal,XXXXXX5590,Active,320000,303700.68,144835.4,10.5,155,66,2898.11,2022-04-18,2026-08-22,Regular
CL00146,CUST00146,LN011,Loan Against Securities,Investment,XXXXXX7393,Active,410000,358679.37,255702.63,10.5,140,77,4578.17,2024-02-25,2026-09-07,Regular
CL00147,CUST00147,LN006,Education Loan,Education,XXXXXX3911,Active,1710000,1619600.24,504628.59,10.5,235,119,6841.66,2020-10-29,2026-08-31,Regular
CL00148,CUST00148,LN002,Home Loan,Home,XXXXXX6486,Active,3420000,3366435.87,2129198.34,10.5,259,171,24052.71,2022-10-17,2026-08-24,Regular
CL00149,CUST00149,LN013,Commercial Vehicle Finance,Commercial,XXXXXX3257,Active,1870000,1657520.52,1251928.55,10.5,128,101,18719.73,2019-08-17,2026-09-10,Regular
CL00153,CUST00153,LN001,Personal Loan,Personal,XXXXXX4496,Active,1700000,1460912.07,1087931.68,10.5,84,66,21769.16,2025-09-13,2026-08-25,Regular
CL00155,CUST00155,LN012,Loan Against Mutual Funds,Investment,XXXXXX7484,Active,620000,559607.07,412185.96,10.5,70,58,9092.24,2026-03-25,2026-08-30,Regular
CL00157,CUST00157,LN013,Commercial Vehicle Finance,Commercial,XXXXXX7436,Active,910000,807637.71,330188.18,10.5,66,41,9618.94,2026-07-13,2026-09-06,Regular
CL00159,CUST00159,LN001,Personal Loan,Personal,XXXXXX3790,Active,1380000,1188533.73,571840.35,10.5,69,40,17005.27,2025-02-18,2026-09-06,Regular
CL00160,CUST00160,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX6806,Active,330000,302905.73,135116.64,10.5,83,16,9086.55,2025-03-04,2026-08-25,Regular
CL00162,CUST00162,LN013,Commercial Vehicle Finance,Commercial,XXXXXX9632,Active,330000,328289.93,256863.63,10.5,97,63,5321.08,2025-12-30,2026-08-27,Regular
CL00163,CUST00163,LN011,Loan Against Securities,Investment,XXXXXX2402,Active,1150000,1000906.65,605404.47,10.5,95,45,16333.47,2022-05-18,2026-09-06,Regular
CL00164,CUST00164,LN002,Home Loan,Home,XXXXXX1911,Active,5430000,4699887.92,1473701.61,10.5,163,136,18575.18,2024-03-28,2026-08-28,Regular
CL00166,CUST00166,LN009,Working Capital Finance,Business,XXXXXX7685,Active,2110000,1857920.29,1385088.62,10.5,136,52,33268.42,2021-09-27,2026-09-05,Regular
CL00168,CUST00168,LN002,Home Loan,Home,XXXXXX7517,Active,5030000,4488718.67,2122128.1,10.5,142,69,41098.77,2023-02-21,2026-09-09,Regular
CL00169,CUST00169,LN009,Working Capital Finance,Business,XXXXXX9761,Active,1460000,1417819.88,856805.27,10.5,186,115,11847.25,2025-09-19,2026-09-01,Regular
CL00170,CUST00170,LN010,Loan Against Property,Property,XXXXXX1732,Active,5350000,5330164.07,1646301.1,10.5,163,75,30027.97,2025-05-10,2026-08-26,Regular
CL00171,CUST00171,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX2890,Active,450000,448479.55,191496.23,10.5,201,101,2863.39,2022-07-13,2026-08-26,Regular
CL00173,CUST00173,LN003,New Car Loan,Auto,XXXXXX8435,Active,1500000,1370963.08,746699.94,10.5,161,112,10485.92,2022-01-06,2026-09-17,Regular
CL00174,CUST00174,LN007,Gold Loan,Gold,XXXXXX8947,Active,430000,422123.88,321819.02,10.5,165,91,5144.0,2023-09-22,2026-09-13,Regular
CL00175,CUST00175,LN012,Loan Against Mutual Funds,Investment,XXXXXX1591,Active,1670000,1502541.28,628946.21,10.5,127,7,93021.58,2026-02-16,2026-08-19,Regular
CL00178,CUST00178,LN010,Loan Against Property,Property,XXXXXX2001,Active,4340000,4140823.41,2466905.16,10.5,109,18,148723.68,2024-01-15,2026-09-02,Regular
CL00179,CUST00179,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX6704,Active,460000,408287.19,149486.96,10.5,123,89,2424.65,2026-04-08,2026-08-19,Regular
CL00181,CUST00181,LN002,Home Loan,Home,XXXXXX3901,Active,3320000,3028163.42,2299591.53,10.5,136,87,37867.17,2022-01-22,2026-08-27,Regular
CL00182,CUST00182,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX7114,Active,280000,268700.1,150596.91,10.5,126,38,4675.54,2023-03-26,2026-08-29,Regular
CL00183,CUST00183,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX2174,Active,400000,383822.33,204779.13,10.5,130,74,3770.89,2023-06-02,2026-09-03,Regular
CL00185,CUST00185,LN013,Commercial Vehicle Finance,Commercial,XXXXXX8101,Active,1180000,1130722.13,801090.29,10.5,139,113,11191.0,2025-09-16,2026-09-13,Regular
CL00188,CUST00188,LN001,Personal Loan,Personal,XXXXXX1653,Active,2120000,2065225.72,687477.39,10.5,170,112,9654.25,2023-06-20,2026-08-31,Regular
CL00189,CUST00189,LN009,Working Capital Finance,Business,XXXXXX3770,Active,8910000,7993556.92,4043935.82,10.5,167,88,66085.58,2024-10-08,2026-09-03,Regular
CL00196,CUST00196,LN011,Loan Against Securities,Investment,XXXXXX3591,Active,1810000,1551124.6,786994.44,10.5,51,27,32853.24,2025-12-21,2026-08-19,Regular
CL00197,CUST00197,LN008,Business Loan,Business,XXXXXX6525,Active,2480000,2385125.28,1575383.07,10.5,84,49,39672.32,2025-08-28,2026-08-27,Regular
CL00198,CUST00198,LN006,Education Loan,Education,XXXXXX3491,Active,1040000,990141.92,642799.18,10.5,194,113,8979.72,2022-11-08,2026-09-07,Regular
CL00200,CUST00200,LN011,Loan Against Securities,Investment,XXXXXX9564,Active,1560000,1477418.7,800960.09,10.5,95,79,14086.05,2025-06-12,2026-08-31,Regular
CL00202,CUST00202,LN013,Commercial Vehicle Finance,Commercial,XXXXXX5318,Active,1720000,1654672.54,1139589.96,10.5,175,108,16354.1,2025-06-16,2026-08-30,Regular
CL00204,CUST00204,LN014,Construction Equipment Finance,Commercial,XXXXXX1334,Active,440000,396421.53,282846.15,10.5,127,38,8781.44,2024-11-15,2026-08-20,Delayed
CL00207,CUST00207,LN009,Working Capital Finance,Business,XXXXXX3338,Active,1070000,948301.17,605420.55,10.5,168,100,9109.18,2023-11-22,2026-09-07,Regular
CL00208,CUST00208,LN013,Commercial Vehicle Finance,Commercial,XXXXXX8454,Active,1100000,1047675.39,667300.79,10.5,160,87,10988.38,2023-01-19,2026-09-17,Regular
CL00210,CUST00210,LN008,Business Loan,Business,XXXXXX6937,Active,6860000,6321709.57,4563806.2,10.5,162,94,71425.09,2026-02-07,2026-09-06,Regular
CL00212,CUST00212,LN014,Construction Equipment Finance,Commercial,XXXXXX2003,Active,880000,809935.78,568866.99,10.5,184,116,7826.47,2026-05-18,2026-08-24,Regular
CL00213,CUST00213,LN012,Loan Against Mutual Funds,Investment,XXXXXX8608,Active,1460000,1443234.68,1104889.79,10.5,134,65,22360.26,2025-10-24,2026-08-23,Regular
CL00214,CUST00214,LN008,Business Loan,Business,XXXXXX6089,Active,8730000,7437481.06,3491185.01,10.5,148,49,87917.28,2020-10-11,2026-09-07,Regular
CL00216,CUST00216,LN012,Loan Against Mutual Funds,Investment,XXXXXX7487,Active,2170000,1974882.24,659971.58,10.5,188,88,10785.19,2023-11-21,2026-08-23,Regular
CL00218,CUST00218,LN003,New Car Loan,Auto,XXXXXX1497,Active,890000,791573.87,642416.94,10.5,93,21,33621.15,2021-09-21,2026-08-24,Regular
CL00219,CUST00219,LN002,Home Loan,Home,XXXXXX9102,Active,5370000,4864234.54,4090490.65,10.5,306,208,42778.02,2025-11-18,2026-09-05,Regular
CL00220,CUST00220,LN006,Education Loan,Education,XXXXXX1265,Active,3660000,3225874.97,2100163.12,10.5,24,9,243679.16,2024-07-03,2026-08-28,Regular
CL00222,CUST00222,LN004,Used Car Loan,Auto,XXXXXX9904,Active,2100000,1791469.35,1054900.23,10.5,112,87,17370.95,2025-01-27,2026-09-01,Regular
CL00224,CUST00224,LN011,Loan Against Securities,Investment,XXXXXX6922,Active,680000,659828.93,447748.5,10.5,196,93,7056.1,2021-02-17,2026-09-05,Regular
CL00226,CUST00226,LN004,Used Car Loan,Auto,XXXXXX5762,Active,1210000,1085529.44,567521.58,10.5,138,97,8704.81,2021-10-15,2026-08-31,Regular
CL00227,CUST00227,LN010,Loan Against Property,Property,XXXXXX4060,Active,5640000,5437687.8,3794226.45,10.5,117,74,69868.43,2022-02-18,2026-09-13,Regular
CL00228,CUST00228,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX5889,Active,470000,402067.38,136855.45,10.5,139,113,1911.83,2024-02-29,2026-09-07,Regular
CL00229,CUST00229,LN003,New Car Loan,Auto,XXXXXX9470,Active,2230000,2011546.66,964736.91,10.5,98,12,85040.21,2024-04-17,2026-08-22,Regular
CL00230,CUST00230,LN010,Loan Against Property,Property,XXXXXX6376,Active,5120000,4525720.75,1413037.99,10.5,117,40,42020.64,2024-11-21,2026-08-28,Regular
CL00233,CUST00233,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX7111,Active,450000,383122.7,190948.41,10.5,163,108,2740.27,2023-09-03,2026-08-19,Regular
CL00234,CUST00234,LN008,Business Loan,Business,XXXXXX5023,Active,3860000,3289228.37,1763767.36,10.5,161,88,28823.3,2024-09-30,2026-08-19,Regular
CL00236,CUST00236,LN001,Personal Loan,Personal,XXXXXX7666,Active,2330000,2107642.94,1209909.03,10.5,58,44,33248.77,2025-02-15,2026-08-19,Delayed
CL00239,CUST00239,LN003,New Car Loan,Auto,XXXXXX2755,Active,2470000,2395700.43,1702196.93,10.5,56,14,129715.12,2020-01-21,2026-09-16,Regular
CL00241,CUST00241,LN011,Loan Against Securities,Investment,XXXXXX9733,Active,770000,709215.82,215738.16,10.5,44,10,22625.62,2025-06-03,2026-09-09,Regular
CL00242,CUST00242,LN012,Loan Against Mutual Funds,Investment,XXXXXX4612,Active,280000,255964.27,196487.07,10.5,124,23,9468.56,2022-03-21,2026-09-08,Regular
CL00248,CUST00248,LN005,Two-Wheeler Loan,Two-Wheeler,XXXXXX3523,Active,370000,319405.08,248873.85,10.5,154,55,5720.19,2025-03-26,2026-09-02,Regular
CL00250,CUST00250,LN006,Education Loan,Education,XXXXXX2192,Active,4820000,4373499.7,2222012.77,10.5,204,86,36874.24,2025-12-26,2026-08-25,Regular
CL00252,CUST00252,LN001,Personal Loan,Personal,XXXXXX2665,Active,120000,105688.51,89609.16,10.5,114,92,1422.13,2020-11-03,2026-09-07,Regular
CL00253,CUST00253,LN009,Working Capital Finance,Business,XXXXXX4831,Active,1930000,1853151.64,1056700.82,10.5,171,62,22155.26,2025-10-20,2026-09-01,Regular
CL00254,CUST00254,LN001,Personal Loan,Personal,XXXXXX1555,Active,760000,660463.65,531820.06,10.5,197,108,7632.08,2022-09-17,2026-09-10,Regular
CL00255,CUST00255,LN012,Loan Against Mutual Funds,Investment,XXXXXX8481,Active,1610000,1550969.47,798105.53,10.5,132,48,20434.2,2025-12-15,2026-08-20,Regular
CL00256,CUST00256,LN011,Loan Against Securities,Investment,XXXXXX9393,Active,1200000,1060357.21,431340.32,10.5,235,118,5876.28,2024-02-04,2026-09-06,Regular
CL00262,CUST00262,LN011,Loan Against Securities,Investment,XXXXXX2886,Active,2030000,1850378.96,1321101.97,10.5,101,12,116453.29,2020-07-25,2026-09-12,Regular
CL00263,CUST00263,LN001,Personal Loan,Personal,XXXXXX8894,Active,410000,403118.29,293545.33,10.5,42,24,13613.47,2024-07-13,2026-09-01,Regular
CL00264,CUST00264,LN001,Personal Loan,Personal,XXXXXX2759,Active,160000,148404.45,110826.2,10.5,93,63,2295.83,2025-12-29,2026-09-06,Regular
CL00269,CUST00269,LN010,Loan Against Property,Property,XXXXXX2061,Active,8200000,7001513.87,3845111.49,10.5,93,25,171908.91,2025-11-14,2026-08-19,Regular
CL00270,CUST00270,LN013,Commercial Vehicle Finance,Commercial,XXXXXX8027,Active,1370000,1266344.15,562510.71,10.5,70,18,33912.4,2024-11-20,2026-09-08,Regular
CL00271,CUST00271,LN003,New Car Loan,Auto,XXXXXX9811,Active,2290000,1973501.27,1333142.2,10.5,143,35,44384.62,2020-09-24,2026-09-12,Regular
CL00272,CUST00272,LN014,Construction Equipment Finance,Commercial,XXXXXX8765,Active,2000000,1828454.59,1434870.26,10.5,141,90,23102.27,2026-04-12,2026-08-31,Regular
CL00274,CUST00274,LN002,Home Loan,Home,XXXXXX3780,Active,13150000,11756369.24,7674953.02,10.5,176,161,89060.33,2026-06-24,2026-08-25,Regular
CL00275,CUST00275,LN009,Working Capital Finance,Business,XXXXXX5185,Active,1730000,1609755.71,1333183.17,10.5,170,90,21465.05,2025-09-27,2026-09-11,Regular
CL00276,CUST00276,LN013,Commercial Vehicle Finance,Commercial,XXXXXX4474,Active,320000,319203.46,186540.78,10.5,45,12,16443.31,2024-12-04,2026-08-23,Regular
CL00278,CUST00278,LN008,Business Loan,Business,XXXXXX8951,Active,9220000,9078527.53,5548469.14,10.5,185,73,103168.83,2024-04-19,2026-09-07,Regular
CL00279,CUST00279,LN012,Loan Against Mutual Funds,Investment,XXXXXX8964,Active,540000,525687.91,257921.57,10.5,171,53,6102.64,2024-11-07,2026-09-14,Regular
CL00280,CUST00280,LN001,Personal Loan,Personal,XXXXXX3230,Active,280000,269242.46,114448.78,10.5,49,12,10088.5,2023-12-10,2026-08-20,Regular
CL00282,CUST00282,LN009,Working Capital Finance,Business,XXXXXX6163,Active,1910000,1805096.85,944729.2,10.5,151,35,31453.1,2025-05-30,2026-09-17,Regular
