customer_investment_id,customer_id,investment_product_id,investment_product_name,investment_category,provider,investment_type,investment_mode,monthly_amount,initial_investment_amount,total_invested_amount,current_value,start_date,status
INVH00019,CUST00019,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,25000,25000,30287.57,2023-03-11,Active
INVH00020,CUST00020,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,50000,50000,49898.44,2025-01-05,Active
INVH00021,CUST00021,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,50000,50000,51500.47,2025-09-01,Active
INVH00022,CUST00022,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,25351.77,2026-01-10,Active
INVH00023,CUST00023,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,188466.84,2024-04-12,Active
INVH00025,CUST00025,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,1000000,1000000,976976.6,2025-09-02,Active
INVH00026,CUST00026,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,200000,200000,239606.98,2025-11-12,Active
INVH00027,CUST00027,INV009,IPO Investment,IPO,HDFC Securities,IPO,Direct Purchase,0,200000,200000,234414.55,2024-06-28,Active
INVH00028,CUST00028,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,500000,500000,484382.99,2026-04-03,Active
INVH00029,CUST00029,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2024-12-11,Active
INVH00031,CUST00031,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,10000,10000,10696.33,2025-08-08,Active
INVH00034,CUST00034,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,500000,500000,508706.73,2022-03-14,Active
INVH00035,CUST00035,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,25000,25000,30382.03,2023-04-27,Active
INVH00036,CUST00036,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,27924.63,2023-08-21,Active
INVH00037,CUST00037,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,118944.32,2024-05-28,Active
INVH00038,CUST00038,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,25000,25000,29858.37,2021-08-03,Active
INVH00039,CUST00039,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,229766.81,2026-01-10,Active
INVH00040,CUST00040,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,200000,200000,240829.21,2025-08-28,Active
INVH00041,CUST00041,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2023-08-15,Active
INVH00044,CUST00044,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,100000,100000,97509.78,2024-05-27,Active
INVH00045,CUST00045,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,116406.01,2024-10-28,Active
INVH00046,CUST00046,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,855000,945414.4783155152,2021-11-24,Active
INVH00047,CUST00047,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,10000,10000,11226.55,2023-06-07,Active
INVH00049,CUST00049,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,29778.71,2026-06-20,Active
INVH00050,CUST00050,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,10000,10000,310000,322531.28,2024-01-29,Active
INVH00051,CUST00051,INV009,IPO Investment,IPO,HDFC Securities,IPO,Direct Purchase,0,50000,50000,47984.65,2025-04-16,Active
INVH00052,CUST00052,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,75000,75000,72326.04,2026-05-25,Active
INVH00053,CUST00053,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,10000,10000,10764.52,2023-07-09,Active
INVH00054,CUST00054,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,500000,500000,590034.92,2023-09-19,Active
INVH00055,CUST00055,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,107045.57,2025-11-01,Active
INVH00056,CUST00056,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,75000,75000,84072.79,2022-12-13,Active
INVH00057,CUST00057,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,20000,20000,460000,516955.10121299856,2024-09-23,Active
INVH00059,CUST00059,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,10000,10000,80000,89630.31,2025-12-19,Active
INVH00060,CUST00060,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2024-06-04,Active
INVH00061,CUST00061,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,26111.89,2025-02-11,Active
INVH00063,CUST00063,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,500000,500000,591467.12,2025-10-06,Active
INVH00065,CUST00065,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,165000,181557.21591919375,2025-09-24,Active
INVH00066,CUST00066,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,1000000,1000000,1078076.98,2025-09-25,Active
INVH00068,CUST00068,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,100000,100000,124620.77,2024-05-24,Active
INVH00072,CUST00072,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,9612.63,2025-05-27,Active
INVH00074,CUST00074,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,1000000,1000000,991672.07,2025-03-23,Active
INVH00075,CUST00075,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,50000,50000,1700000,1987190.8693890662,2023-10-18,Active
INVH00076,CUST00076,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,11084.34,2026-05-21,Active
INVH00078,CUST00078,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,200000,200000,219635.36,2024-02-26,Active
INVH00079,CUST00079,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,100000,100000,110110.4,2021-08-01,Active
INVH00080,CUST00080,INV009,IPO Investment,IPO,HDFC Securities,IPO,Direct Purchase,0,50000,50000,47448.62,2025-06-23,Active
INVH00081,CUST00081,INV010,ETF,ETF,HDFC Securities,ETF,Direct Purchase,0,1000000,1000000,1206152.57,2025-12-16,Active
INVH00082,CUST00082,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,3000,3000,96000,106605.95064597763,2023-12-11,Active
INVH00083,CUST00083,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,25000,25000,25415.87,2025-10-09,Active
INVH00084,CUST00084,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,1000000,1000000,1222333.81,2023-12-25,Active
INVH00085,CUST00085,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,92741.85,2025-07-24,Active
INVH00086,CUST00086,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2024-12-08,Active
INVH00087,CUST00087,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,7500,7500,262500,293604.03098369477,2023-09-26,Active
INVH00089,CUST00089,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,100000,100000,101543.88,2023-05-23,Active
INVH00090,CUST00090,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,7500,7500,112500,128180.70981702604,2025-05-03,Active
INVH00091,CUST00091,INV011,Gold ETF,Gold ETF,HDFC Securities,Gold ETF,Direct Purchase,0,1000000,1000000,1224489.48,2023-08-23,Active
INVH00093,CUST00093,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,500000,500000,588314.17,2020-03-05,Active
INVH00094,CUST00094,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,23584.59,2022-08-21,Active
INVH00095,CUST00095,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,50000,50000,61076.95,2020-01-21,Active
INVH00096,CUST00096,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,27626.26,2025-11-24,Active
INVH00097,CUST00097,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,100000,100000,97667.33,2022-11-30,Active
INVH00099,CUST00099,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,3000,3000,66000,75014.07424350297,2024-10-02,Active
INVH00100,CUST00100,INV010,ETF,ETF,HDFC Securities,ETF,Direct Purchase,0,200000,200000,187215.18,2024-11-13,Active
INVH00101,CUST00101,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,2000,2000,56000,64698.91924117456,2024-04-27,Active
INVH00102,CUST00102,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,107079.21,2023-07-01,Active
INVH00103,CUST00103,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,237425.79,2024-02-26,Active
INVH00104,CUST00104,INV011,Gold ETF,Gold ETF,HDFC Securities,Gold ETF,Direct Purchase,0,10000,10000,12453.02,2024-03-27,Active
INVH00106,CUST00106,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,5000,5000,240000,273987.6,2022-08-24,Active
INVH00108,CUST00108,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,105000,111470.65070351525,2026-01-07,Active
INVH00109,CUST00109,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,186914.7,2022-07-21,Active
INVH00110,CUST00110,INV011,Gold ETF,Gold ETF,HDFC Securities,Gold ETF,Direct Purchase,0,200000,200000,194149.18,2021-06-13,Active
INVH00111,CUST00111,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2026-07-29,Active
INVH00112,CUST00112,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,49482.63,2022-08-21,Active
INVH00114,CUST00114,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,75000,75000,72868.77,2025-03-18,Active
INVH00115,CUST00115,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,231203.18,2024-08-26,Active
INVH00116,CUST00116,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,500000,500000,622847.53,2022-08-01,Active
INVH00118,CUST00118,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,25000,25000,1425000,1671942.1241943627,2021-11-02,Active
INVH00120,CUST00120,INV010,ETF,ETF,HDFC Securities,ETF,Direct Purchase,0,25000,25000,28387.74,2021-11-16,Active
INVH00121,CUST00121,INV011,Gold ETF,Gold ETF,HDFC Securities,Gold ETF,Direct Purchase,0,75000,75000,69176.6,2026-08-15,Active
INVH00122,CUST00122,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,51432.21,2024-10-12,Active
INVH00123,CUST00123,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2024-08-29,Active
INVH00125,CUST00125,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,75000,75000,91795.09,2025-06-29,Active
INVH00126,CUST00126,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,29483.45,2026-06-29,Active
INVH00127,CUST00127,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,11073.01,2025-06-25,Active
INVH00128,CUST00128,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,25000,25000,25375.27,2025-02-12,Active
INVH00129,CUST00129,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,11203.06,2021-12-26,Active
INVH00130,CUST00130,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,117328.99,2026-03-19,Active
INVH00131,CUST00131,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,75000,75000,88835.93,2026-08-17,Active
INVH00132,CUST00132,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,1000000,1000000,943740.08,2021-07-13,Active
INVH00133,CUST00133,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,25000,25000,25155.98,2025-12-18,Active
INVH00137,CUST00137,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,200000,200000,234904.54,2026-06-23,Active
INVH00138,CUST00138,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,53291.08,2025-10-25,Active
INVH00142,CUST00142,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,5000,5000,200000,224340.32794426,2023-04-11,Active
INVH00143,CUST00143,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,7500,7500,382500,390286.73964714387,2022-05-22,Active
INVH00144,CUST00144,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,9616.21,2024-07-17,Active
INVH00145,CUST00145,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2020-07-22,Active
INVH00146,CUST00146,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2023-06-14,Active
INVH00147,CUST00147,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,10000,10000,11190.87,2024-03-27,Active
INVH00148,CUST00148,INV010,ETF,ETF,HDFC Securities,ETF,Direct Purchase,0,25000,25000,29508.06,2022-06-18,Active
INVH00149,CUST00149,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,50000,50000,46498.06,2024-02-05,Active
INVH00150,CUST00150,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,98195.55,2022-04-06,Active
INVH00151,CUST00151,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,25000,25000,26691.71,2022-03-14,Active
INVH00153,CUST00153,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,47379.26,2023-09-05,Active
INVH00154,CUST00154,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,185068.62,2024-02-14,Active
INVH00156,CUST00156,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,3000,3000,204000,232875.56,2020-12-05,Active
INVH00157,CUST00157,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2024-04-17,Active
INVH00158,CUST00158,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,500000,500000,466106.35,2025-12-25,Active
INVH00159,CUST00159,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2024-01-10,Active
INVH00160,CUST00160,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,795000,848297.549790874,2022-03-05,Active
INVH00162,CUST00162,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,3000,3000,189000,203430.1,2021-05-18,Active
INVH00163,CUST00163,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,200000,200000,214913.01,2024-10-17,Active
INVH00164,CUST00164,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,100000,100000,119115.65,2025-03-23,Active
INVH00165,CUST00165,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,222576.55,2025-08-14,Active
INVH00166,CUST00166,INV009,IPO Investment,IPO,HDFC Securities,IPO,Direct Purchase,0,50000,50000,59226.33,2024-03-03,Active
INVH00170,CUST00170,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,510000,572577.9814213543,2023-10-11,Active
INVH00171,CUST00171,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,30545.74,2025-06-06,Active
INVH00172,CUST00172,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,200000,200000,228477.87,2025-01-31,Active
INVH00174,CUST00174,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,5000,5000,50000,54398.92227147932,2025-10-19,Active
INVH00175,CUST00175,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,2000,2000,20000,21108.39,2025-10-29,Active
INVH00177,CUST00177,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,24371.13,2024-11-27,Active
INVH00178,CUST00178,INV010,ETF,ETF,HDFC Securities,ETF,Direct Purchase,0,500000,500000,556437.28,2023-10-04,Active
INVH00183,CUST00183,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,50000,50000,58669.42,2024-02-20,Active
INVH00184,CUST00184,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,98521.23,2025-04-19,Active
INVH00185,CUST00185,INV011,Gold ETF,Gold ETF,HDFC Securities,Gold ETF,Direct Purchase,0,100000,100000,116646.7,2025-11-10,Active
INVH00186,CUST00186,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,200000,200000,204066.16,2026-03-23,Active
INVH00187,CUST00187,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,1000,1000,25000,27354.4,2024-07-27,Active
INVH00188,CUST00188,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,1000,1000,57000,60855.5,2021-11-23,Active
INVH00189,CUST00189,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,25000,25000,28362.47,2024-01-19,Active
INVH00190,CUST00190,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,10000,10000,180000,206818.36,2025-02-11,Active
INVH00191,CUST00191,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,75000,81505.4836576288,2026-03-18,Active
INVH00194,CUST00194,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,11772.23,2025-07-19,Active
INVH00199,CUST00199,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,100000,100000,95723.64,2025-03-25,Active
INVH00200,CUST00200,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,122382.1,2026-05-28,Active
INVH00202,CUST00202,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,25000,25000,30904.25,2024-10-24,Active
INVH00204,CUST00204,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,1000,1000,3000,3330.4150570923184,2026-05-15,Active
INVH00205,CUST00205,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,3000,3000,51000,52918.2,2025-03-27,Active
INVH00207,CUST00207,INV012,Wealth Management,Wealth Management,HDFC Bank,Wealth Management,Direct Purchase,0,75000,75000,86941.53,2021-09-05,Active
INVH00211,CUST00211,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,500000,500000,527187.18,2024-06-07,Active
INVH00212,CUST00212,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,60002.17,2026-08-10,Active
INVH00213,CUST00213,INV001,HDFC Equity Mutual Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,59006.38,2025-10-13,Active
INVH00214,CUST00214,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,10000,10000,10675.36,2024-09-04,Active
INVH00215,CUST00215,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,10000,10000,10183.98,2024-07-25,Active
INVH00216,CUST00216,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,10000,10000,9373.19,2022-07-12,Active
INVH00217,CUST00217,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,100000,100000,119486.68,2022-05-27,Active
INVH00218,CUST00218,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,25000,25000,29034.33,2021-09-19,Active
INVH00219,CUST00219,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,51491.27,2026-01-25,Active
INVH00222,CUST00222,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,75000,75000,91438.75,2023-10-12,Active
INVH00223,CUST00223,INV010,ETF,ETF,HDFC Securities,ETF,Direct Purchase,0,500000,500000,534221.68,2022-07-09,Active
INVH00224,CUST00224,INV008,Equity Trading,Stock / Equity,HDFC Securities,Stock / Equity,Direct Purchase,0,200000,200000,196083.14,2025-07-28,Active
INVH00225,CUST00225,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,10000,10000,11027.24,2023-07-21,Active
INVH00226,CUST00226,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,15000,15000,1155000,1268828.9408253634,2020-03-24,Active
INVH00229,CUST00229,INV005,HDFC Corporate Bond,Bond,HDFC Securities,Bond,Direct Purchase,0,25000,25000,31238.82,2023-02-03,Active
INVH00231,CUST00231,INV006,NPS Tier I,NPS,HDFC Pension,NPS,Recurring,10000,10000,90000,92638.69,2025-11-24,Active
INVH00233,CUST00233,INV009,IPO Investment,IPO,HDFC Securities,IPO,Direct Purchase,0,75000,75000,79764.71,2020-06-10,Active
INVH00234,CUST00234,INV002,HDFC Balanced Advantage Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,100000,100000,114169.76,2026-02-27,Active
INVH00236,CUST00236,INV013,Private Banking,Private Banking,HDFC Bank,Private Banking,Direct Purchase,0,200000,200000,205008.57,2022-05-16,Active
INVH00239,CUST00239,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2026-01-23,Active
INVH00240,CUST00240,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,500000,500000,479845.78,2023-02-22,Active
INVH00241,CUST00241,INV003,HDFC Liquid Fund,Mutual Fund,HDFC Mutual Fund,Mutual Fund,Lumpsum,0,50000,50000,50391.31,2025-10-30,Active
INVH00242,CUST00242,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2023-09-15,Active
INVH00243,CUST00243,INV004,HDFC Equity SIP,SIP,HDFC Mutual Fund,SIP,Monthly SIP,2000,2000,46000,49959.476858218375,2024-09-25,Active
INVH00244,CUST00244,INV007,HDFC 3-in-1 Investment Account,Demat,HDFC Securities,Demat Account,Account,0,0,0,0,2023-12-28,Active
